,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.12,4.54,5.27,4.43,5.1,5.09,1.21,1.76,1.17,0.92,0.94,2.52,0.5,0.99,0.93,0.79
e_1,2.97,1.13,6.86,5.83,5.97,4.14,1.62,2.53,1.08,1.08,1.04,1.47,0.77,0.99,2.4,0.81
c_1,5.72,4.6,1.13,6.58,5.29,6.35,1.57,1.6,0.64,2.08,1.11,0.93,0.72,1.19,1.18,0.75
d_1,5.59,7.2,4.8,1.13,5.81,4.32,1.44,1.01,2.76,1.04,1.21,1.18,0.91,1.2,1.38,0.57
b_1,7.56,6.68,3.73,5.94,1.14,7.79,2.0,1.88,1.61,2.01,3.9,1.34,1.1,1.14,1.21,1.13
a_1,12.59,11.38,10.07,9.85,5.01,1.14,3.61,2.78,1.86,1.7,2.41,1.69,1.71,4.32,1.63,1.47
h_1,18.62,17.57,18.72,15.55,15.36,14.79,1.77,4.76,3.69,3.26,4.07,3.13,6.26,3.53,2.98,2.82
g_1,26.26,21.91,23.34,21.44,22.02,23.74,4.95,1.81,5.44,4.94,4.29,4.85,2.47,6.88,3.86,4.23
d_0,27.04,11.95,24.55,51.27,22.2,28.28,6.9,7.4,2.47,4.58,5.14,4.29,3.82,6.06,4.22,4.08
c_0,24.66,23.5,66.28,12.11,23.48,23.17,7.07,7.57,7.05,2.6,4.56,4.59,4.36,5.34,5.48,3.51
b_0,24.83,23.35,32.81,18.75,67.64,23.74,7.43,6.53,5.35,2.56,2.38,6.65,3.79,4.72,5.48,4.49
f_0,52.9,26.49,31.56,26.89,26.8,25.3,8.29,4.19,5.22,5.72,6.33,2.33,4.5,6.55,5.1,3.2
h_0,33.49,35.14,29.86,29.83,38.92,39.24,14.86,10.25,6.55,6.63,5.38,6.57,7.2,6.06,5.03,4.13
a_0,36.5,34.13,40.91,30.66,37.88,71.22,11.34,8.54,8.56,6.42,3.75,10.18,4.75,2.55,7.2,4.86
e_0,64.04,86.56,36.82,37.28,33.42,38.46,11.34,8.02,8.23,7.0,7.12,3.55,7.32,12.3,2.53,4.93
g_0,41.95,38.16,44.19,39.06,40.01,62.03,8.06,15.86,7.3,7.99,7.22,7.31,4.08,8.46,7.34,9.59
