,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.17,0.66,0.36,0.74,0.81,0.71,0.21,0.22,0.13,0.14,0.16,0.17,0.13,0.3,0.16,0.12
d_1,0.73,0.16,0.69,0.69,0.67,0.6,0.18,0.12,0.26,0.11,0.12,0.11,0.09,0.12,0.12,0.06
f_1,0.73,0.58,0.16,0.7,0.6,0.56,0.13,0.23,0.17,0.13,0.12,0.27,0.06,0.14,0.12,0.12
c_1,0.5,0.89,0.67,0.14,0.75,0.57,0.21,0.18,0.07,0.27,0.13,0.13,0.11,0.12,0.14,0.09
b_1,0.66,0.68,0.89,0.34,0.13,0.78,0.19,0.2,0.14,0.2,0.35,0.13,0.1,0.15,0.14,0.11
a_1,0.82,0.65,0.8,0.69,0.31,0.1,0.21,0.19,0.14,0.15,0.17,0.17,0.09,0.13,0.44,0.11
h_1,0.51,0.51,0.53,0.55,0.5,0.46,0.06,0.16,0.12,0.11,0.1,0.12,0.14,0.11,0.11,0.07
g_1,0.5,0.47,0.68,0.53,0.54,0.51,0.12,0.06,0.11,0.11,0.12,0.11,0.05,0.09,0.11,0.11
d_0,0.3,1.12,0.54,0.52,0.51,0.55,0.18,0.17,0.06,0.15,0.11,0.1,0.08,0.09,0.1,0.08
c_0,0.59,0.27,0.56,1.29,0.56,0.47,0.16,0.15,0.17,0.06,0.11,0.12,0.08,0.11,0.11,0.09
b_0,0.56,0.39,0.5,0.7,0.85,0.44,0.17,0.16,0.16,0.06,0.05,0.12,0.07,0.1,0.08,0.08
f_0,0.41,0.47,1.46,0.53,0.54,0.54,0.15,0.09,0.11,0.11,0.12,0.05,0.07,0.11,0.09,0.05
h_0,0.49,0.47,0.66,0.49,0.49,0.45,0.23,0.16,0.11,0.09,0.1,0.1,0.14,0.09,0.08,0.06
e_0,0.65,0.48,0.92,0.65,0.51,0.41,0.13,0.14,0.1,0.1,0.1,0.05,0.06,0.04,0.1,0.05
a_0,0.46,0.45,0.49,0.73,1.02,0.8,0.15,0.16,0.14,0.08,0.05,0.11,0.08,0.09,0.04,0.07
g_0,0.48,0.48,0.53,0.65,0.54,0.49,0.11,0.2,0.1,0.12,0.12,0.09,0.06,0.09,0.09,0.12
