,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,10123.65,6268.32,9150.83,7775.51,14414.01,60390.81,9479477.09,33210600.77,16093188.75,21022995.79,37888125.24,52762976.89,197925027.67,229563803.51,238106190.55,627524580.48
f_1,7681.2,14267.58,6752.09,8732.6,12349.43,65266.2,8950873.21,21054007.06,14653130.14,20375637.2,37444905.33,31464046.75,162751631.76,198337336.02,182879792.94,562498864.58
c_1,4486.04,6370.27,15720.42,8203.43,25486.51,73597.25,9917557.81,17167477.84,14320265.83,14195366.65,25819408.98,43585986.69,169794517.56,187804182.13,275013373.69,615998044.49
d_1,4686.24,6607.0,5336.01,22112.69,13736.37,67066.15,9352209.33,13347345.28,19387112.22,38928231.38,48831398.9,54119288.76,207058253.39,266987853.58,297071303.18,661711423.79
b_1,4099.63,6257.0,6718.74,8510.15,40974.81,137800.3,9383793.64,17769160.74,17422276.32,21288245.3,28222079.86,49836864.52,177316053.35,138921393.36,289292930.65,618514009.46
a_1,5040.39,7600.24,6175.43,9443.09,15291.07,261673.35,11180082.55,20183628.74,17070709.42,24393242.86,40526315.53,45711269.39,201109931.48,152229204.56,291262828.72,676531915.64
h_1,5371.44,9202.03,7472.41,9170.15,15726.77,74522.97,18807124.99,20194280.24,22023983.59,19208766.31,34770437.48,53150861.63,146640684.85,222676359.9,295335775.13,745304190.64
d_0,4598.06,6546.32,12694.32,6723.3,17907.76,61026.58,10501369.9,28943986.88,17015004.18,16722714.77,39987770.45,53063957.91,178328230.87,210877711.42,328194048.23,653041001.48
g_1,4774.3,6009.66,7438.09,13874.55,15411.5,64889.99,9047510.69,16294710.71,37117461.46,25278586.08,37739123.58,73433847.56,217451227.5,187498888.27,393390442.84,539335323.84
c_0,5068.95,7848.36,5974.0,11108.08,10816.55,71939.09,11290193.12,21640260.88,19400069.45,36945233.58,72884022.81,62800973.33,228609087.97,319112695.87,354619804.58,742253713.18
b_0,5472.2,7736.09,8260.99,9705.94,11780.71,60816.84,10441818.85,22934002.3,19703343.84,24852146.21,66035127.98,57411769.68,211154694.56,491660498.91,339963433.62,622452068.95
f_0,4108.98,6441.54,8193.46,11675.2,16790.92,66832.7,11742223.35,20492721.62,20438096.85,22643460.18,42275117.06,88408846.75,223695728.55,282659646.77,601950413.89,751502693.46
h_0,5224.65,8789.92,6733.61,11684.09,13613.83,63957.06,6593536.46,19045742.09,22058679.89,24314856.1,39789382.48,47971057.53,169234977.78,213124410.92,296720970.24,895123001.16
a_0,5471.71,8273.75,7650.32,9851.71,13629.86,46386.74,10080619.0,21651599.43,17648848.81,25666181.37,45854463.4,51289547.41,225198194.58,462203903.8,321882811.09,727971535.04
e_0,4459.86,7359.08,8062.67,10901.27,16396.77,78652.86,12032403.72,18499250.47,19293365.24,24578730.82,41770830.75,54689959.4,199641686.12,233589064.3,587371504.35,739271277.36
g_0,4675.76,6395.03,6941.69,14837.23,14850.18,72476.35,10575641.1,17527240.47,16078780.56,25319041.07,43052058.74,79829698.8,210577769.16,229437637.43,395337804.13,557533755.01
