,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.96,0.66,1.23,1.05,1.0,1.16,1.14,1.22,0.85,1.1,1.14,1.29,1.14,1.17,1.21
d_1,1.05,1.0,1.07,0.88,1.03,0.99,1.07,0.82,0.82,1.26,1.06,0.88,1.01,1.07,1.02,0.7
f_1,1.51,0.94,1.0,1.0,0.87,0.81,0.8,1.07,1.1,0.96,0.92,0.77,0.65,0.8,0.88,1.1
c_1,0.82,1.13,1.0,1.0,1.54,0.89,1.07,1.04,0.74,0.73,0.85,0.96,1.13,0.86,1.01,0.88
b_1,0.95,0.97,1.16,0.65,1.0,1.47,1.07,1.05,1.06,1.23,1.29,0.99,1.06,1.01,0.75,1.21
a_1,1.0,1.01,1.24,1.13,0.68,1.0,1.15,0.97,0.8,1.04,1.12,1.06,0.98,1.09,1.04,1.09
h_1,0.86,0.94,1.26,0.93,0.92,0.9,1.0,1.19,0.95,1.02,0.89,0.94,1.34,1.2,1.17,1.32
g_1,0.87,1.22,0.95,1.0,0.9,1.02,0.83,1.0,1.04,0.91,1.05,1.36,0.79,0.94,0.98,0.98
d_0,0.81,1.18,0.93,1.34,0.91,1.37,1.1,0.98,1.0,0.96,0.79,0.93,1.01,0.96,0.9,1.09
c_0,1.12,0.83,1.09,1.35,0.86,0.91,0.96,1.07,1.06,1.0,1.35,1.18,1.05,1.01,0.95,1.09
b_0,0.92,0.9,1.06,1.12,0.79,0.94,1.1,0.98,1.28,0.79,1.0,1.09,0.93,0.87,1.39,1.01
f_0,0.85,1.1,1.28,1.08,1.01,0.93,1.05,0.69,1.1,0.82,0.97,1.0,1.23,1.45,0.89,0.94
h_0,0.78,0.97,1.47,0.95,0.92,0.99,0.71,1.29,0.95,0.93,1.06,0.88,1.0,0.93,0.85,0.94
e_0,0.8,0.99,1.3,1.16,1.01,0.88,0.86,1.11,1.06,0.97,1.15,0.72,1.14,1.0,1.07,0.89
a_0,0.87,0.91,1.14,1.07,1.38,,0.95,1.07,1.24,0.91,0.71,1.16,1.22,0.89,1.0,0.96
g_0,0.79,1.38,0.9,1.16,0.87,0.95,0.79,0.97,0.93,0.96,0.99,1.06,1.08,1.08,1.04,1.04
