,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.42,0.9,0.94,0.85,0.82,1.0,0.43,0.34,0.38,0.57,0.37,0.38,0.42,0.33,0.34,0.24
f_1,0.78,0.41,1.01,0.83,0.86,0.85,0.35,0.52,0.42,0.39,0.38,0.69,0.38,0.26,0.4,0.36
e_1,0.89,0.58,0.39,1.07,0.98,0.96,0.51,0.53,0.37,0.49,0.46,0.45,0.45,0.37,0.61,0.39
c_1,1.11,0.99,0.68,0.39,1.0,0.76,0.53,0.52,0.52,0.22,0.3,0.4,0.32,0.32,0.38,0.32
b_1,1.0,0.9,0.88,0.57,0.36,0.86,0.59,0.56,0.53,0.41,0.62,0.4,0.37,0.38,0.33,0.4
a_1,0.84,1.13,0.94,0.82,0.54,0.3,0.67,0.49,0.44,0.41,0.55,0.41,0.61,0.39,0.43,0.44
h_1,0.75,0.89,0.77,0.75,0.79,0.59,0.25,0.43,0.37,0.36,0.36,0.32,0.36,0.45,0.37,0.3
g_1,0.93,0.84,0.81,0.69,0.73,0.75,0.34,0.23,0.34,0.34,0.36,0.36,0.35,0.24,0.39,0.36
c_0,0.51,0.86,0.8,1.42,0.77,0.86,0.42,0.5,0.25,0.53,0.42,0.3,0.38,0.3,0.35,0.31
d_0,1.17,0.77,0.47,0.96,0.77,0.78,0.44,0.48,0.34,0.26,0.37,0.37,0.42,0.33,0.36,0.31
b_0,0.65,0.88,0.71,1.16,1.41,0.73,0.36,0.37,0.21,0.4,0.24,0.33,0.38,0.29,0.34,0.29
f_0,0.69,1.11,0.77,0.82,0.86,0.71,0.44,0.29,0.36,0.37,0.34,0.23,0.35,0.32,0.49,0.22
a_0,0.68,0.71,0.72,1.01,0.93,1.46,0.46,0.4,0.32,0.36,0.23,0.35,0.21,0.3,0.38,0.3
h_0,0.68,0.84,0.79,0.8,0.8,0.72,0.49,0.38,0.38,0.34,0.37,0.35,0.32,0.38,0.28,0.3
e_0,0.79,1.03,0.97,0.87,0.82,0.6,0.39,0.3,0.34,0.38,0.35,0.17,0.33,0.39,0.2,0.24
g_0,0.75,0.81,0.75,0.78,0.84,0.65,0.33,0.51,0.34,0.44,0.36,0.33,0.39,0.27,0.39,0.35
