,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.22,0.03,0.04,0.02,0.03,0.03,0.06,0.11,0.05,0.03,0.05,0.07,0.04,0.07,,0.06
f_1,0.05,2.26,0.03,0.03,0.03,0.02,0.05,0.07,0.07,0.03,0.05,,0.05,0.07,0.05,0.08
c_1,0.03,0.03,2.34,0.04,0.05,0.02,0.04,0.06,,0.04,0.04,0.06,0.05,0.08,0.06,0.06
d_1,0.03,0.03,0.02,2.35,0.03,0.02,0.07,,0.09,0.05,0.06,0.06,0.05,0.1,0.06,0.06
b_1,0.03,0.03,0.04,0.03,2.43,0.03,0.05,0.06,0.06,0.05,,0.04,0.04,0.09,0.03,0.08
a_1,0.03,0.03,0.03,0.02,0.02,3.07,0.08,0.08,0.05,0.05,0.06,0.04,,0.09,,0.1
h_1,0.08,0.16,0.09,0.1,0.11,0.1,2.71,0.26,0.27,0.3,0.2,0.18,0.17,,0.19,0.27
d_0,0.17,0.17,0.24,,0.15,0.13,0.24,2.08,0.33,0.17,0.24,0.26,0.21,0.34,0.25,0.24
c_0,0.17,0.13,,0.17,0.11,0.1,0.25,0.25,2.01,0.31,0.66,0.29,0.3,0.38,0.2,0.25
g_1,0.11,0.09,0.12,0.17,0.09,0.08,0.2,0.18,0.22,3.14,0.24,0.32,0.2,0.29,,
b_0,0.17,0.16,0.13,0.15,,0.11,0.26,0.23,0.36,0.27,2.3,0.24,0.5,0.33,,0.4
f_0,0.13,,0.14,0.12,0.14,0.1,0.26,0.35,0.3,0.22,0.34,2.41,0.29,0.5,0.39,0.3
a_0,0.15,0.15,0.16,0.13,0.1,,0.28,0.45,0.5,0.23,0.22,0.19,2.48,,,0.25
h_0,0.18,0.3,0.24,0.2,0.22,0.14,,0.47,0.47,0.52,0.42,0.38,,,0.47,0.84
e_0,,0.17,0.12,0.21,0.13,,0.4,0.43,0.39,,,0.22,,0.39,2.74,
g_0,0.19,0.24,0.18,0.34,0.22,0.13,0.41,0.34,0.5,,0.41,0.73,0.44,0.47,,
