,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.75,1.19,0.87,0.94,0.74,0.56,0.59,0.38,0.37,0.38,0.43,0.35,0.36,0.33,0.34
f_1,1.34,1.0,0.86,0.87,0.85,0.8,0.38,0.42,0.41,0.42,0.39,0.32,0.3,0.27,0.26,0.32
c_1,0.84,1.15,1.0,1.22,1.14,0.64,0.49,0.32,0.38,0.42,0.35,0.39,0.31,0.35,0.33,0.31
d_1,1.15,1.15,0.81,1.0,0.96,0.7,0.53,0.48,0.54,0.4,0.45,0.42,0.37,0.38,0.34,0.24
b_1,1.06,1.18,0.88,1.04,1.0,1.03,0.53,0.46,0.47,0.44,0.34,0.38,0.34,0.36,0.33,0.35
a_1,1.36,1.25,1.56,1.41,0.98,1.0,0.76,0.68,0.58,0.63,0.56,0.5,0.56,0.5,0.51,0.53
h_1,1.91,2.65,1.97,1.91,1.91,1.29,1.0,0.96,0.87,1.1,0.85,0.78,0.75,0.86,0.61,0.7
d_0,1.65,2.33,3.3,2.14,2.22,1.45,1.03,1.0,0.91,1.22,0.84,0.79,0.73,0.79,0.65,0.71
c_0,2.54,2.57,2.58,1.79,2.11,1.69,1.15,1.08,1.0,1.13,1.23,0.95,0.75,0.8,0.63,0.64
g_1,2.6,2.42,2.35,2.66,2.3,1.61,0.9,0.85,0.93,1.0,0.87,1.09,0.87,0.67,0.77,0.68
b_0,2.43,2.65,2.85,2.25,2.49,1.96,1.2,1.2,0.83,1.11,1.0,0.91,1.26,0.8,0.8,0.83
f_0,2.04,3.2,2.66,2.52,2.59,2.03,1.4,1.25,1.05,0.91,1.09,1.0,0.99,1.08,1.17,0.59
a_0,2.77,3.22,3.24,2.85,2.94,1.89,1.38,1.44,1.26,1.19,0.82,1.01,1.0,1.01,0.89,0.84
h_0,2.8,3.75,2.82,2.74,2.7,1.95,1.12,1.21,1.3,1.52,1.18,0.94,0.97,1.0,0.85,1.06
e_0,3.07,3.69,3.15,2.97,3.02,1.9,1.57,1.49,1.47,1.37,1.36,0.86,1.19,1.13,1.0,1.09
g_0,3.01,3.2,3.16,4.12,2.78,1.93,1.44,1.34,1.56,1.56,1.16,1.63,1.19,0.93,0.94,1.0
