,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,2.26,0.96,1.07,0.62,0.79,0.6,1.56,2.89,1.4,1.68,1.18,1.46,1.94,1.42,0.94,1.86
f_1,1.44,2.26,0.82,0.82,0.72,0.49,1.25,1.74,1.43,1.38,1.0,0.82,1.79,1.49,1.12,1.61
c_1,0.75,0.86,2.42,0.81,1.39,0.63,1.52,1.67,0.8,0.94,1.05,1.17,1.94,1.13,1.42,1.67
d_1,0.93,0.95,0.57,2.53,0.68,0.64,1.7,1.06,3.28,2.03,1.4,1.74,2.23,1.55,1.61,2.02
b_1,0.8,0.91,0.87,0.8,2.64,1.34,1.42,1.78,1.49,1.0,1.05,1.36,1.94,1.08,1.39,1.57
a_1,0.8,1.02,0.91,0.79,0.66,3.13,1.63,1.7,2.03,1.66,1.22,1.54,2.74,1.0,1.51,2.09
h_1,0.92,1.36,0.93,0.97,0.76,0.63,3.26,1.51,1.78,1.85,1.85,1.83,1.53,1.47,1.51,2.53
d_0,0.96,0.88,1.74,0.58,0.92,0.66,1.76,3.01,1.25,1.6,1.31,1.55,2.09,1.4,1.56,2.2
c_0,1.08,1.06,0.64,0.99,0.66,0.7,1.57,1.82,3.14,3.24,1.64,1.92,2.55,1.89,1.43,2.19
b_0,1.12,1.08,1.02,0.86,0.51,0.44,1.81,2.07,2.16,3.45,1.58,1.64,2.37,3.59,1.59,2.38
g_1,0.93,0.9,0.86,1.31,0.74,0.62,1.92,1.47,1.81,1.74,3.96,2.57,2.14,1.64,1.53,1.8
f_0,0.71,0.83,1.02,1.11,0.79,0.73,1.89,1.87,1.99,1.94,1.86,3.65,2.69,1.6,3.56,2.41
h_0,0.96,1.28,0.94,1.05,0.78,0.65,1.38,1.72,1.79,1.85,2.0,1.64,1.78,1.51,1.53,2.83
a_0,1.06,1.07,0.99,0.99,0.65,0.45,1.92,2.04,1.8,1.72,1.76,1.75,2.1,3.47,1.83,2.33
e_0,0.63,1.13,0.87,1.27,0.88,0.73,1.77,1.65,2.06,1.81,1.9,1.79,2.84,1.71,3.52,2.28
g_0,0.81,0.87,1.0,1.45,0.83,0.64,1.71,1.5,1.95,1.59,1.09,2.9,2.39,1.5,1.61,1.74
