,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.22,0.96,0.92,0.91,0.91,0.88,1.03,1.06,0.89,0.98,0.98,0.89,0.87,1.02,1.06
e_1,0.81,1.0,1.2,0.94,1.0,1.01,0.99,1.09,1.35,0.95,1.13,0.99,1.03,1.07,1.14,1.08
c_1,1.05,0.82,1.0,1.13,1.36,0.82,1.03,1.01,0.72,0.83,0.91,0.83,1.04,1.0,0.96,1.06
d_1,1.07,1.06,0.9,1.0,0.98,0.94,1.03,0.79,1.1,1.31,1.0,0.98,1.01,0.98,0.89,0.93
b_1,1.05,1.02,0.75,1.01,1.0,1.58,1.12,1.01,0.87,1.13,0.97,1.05,1.0,0.99,0.92,0.95
a_1,1.1,0.99,1.21,1.09,0.65,1.0,1.09,1.17,1.05,0.93,1.04,1.26,1.12,1.06,0.97,0.98
h_1,1.13,1.0,0.94,0.97,0.87,0.93,1.0,1.23,0.93,0.99,0.99,1.03,0.97,0.95,0.9,1.15
g_1,1.0,0.96,0.99,1.25,0.99,0.86,0.81,1.0,0.82,1.03,1.23,0.98,0.81,0.96,0.98,0.96
d_0,0.93,0.76,1.43,0.87,1.11,0.92,1.06,1.17,1.0,0.82,1.03,0.99,1.05,0.99,0.98,1.01
c_0,1.13,1.0,1.23,0.77,0.88,1.06,0.98,0.99,1.14,1.0,0.98,1.41,1.07,1.12,1.14,1.02
f_0,1.01,0.88,1.12,1.02,1.05,0.88,1.03,0.79,0.97,1.01,1.0,1.1,1.07,1.29,1.0,0.82
b_0,1.01,1.0,1.25,0.97,0.91,0.84,0.99,1.07,0.98,0.73,0.88,1.0,1.14,0.9,1.44,0.93
h_0,1.13,0.96,0.98,1.0,1.0,0.89,1.05,1.23,0.97,0.9,0.95,0.9,1.0,0.99,0.98,1.08
e_0,1.19,1.02,0.94,1.08,1.02,0.95,1.0,0.98,1.0,0.94,0.78,1.18,1.08,1.0,1.04,0.85
a_0,1.03,0.88,1.02,1.14,1.03,0.95,1.13,1.04,1.0,0.92,0.96,0.72,1.03,0.98,1.0,0.96
g_0,0.94,0.92,0.97,1.07,0.98,1.04,0.87,1.01,0.99,1.0,1.19,1.13,0.92,1.07,1.06,1.0
