,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.16,0.61,0.55,0.74,0.65,0.54,0.14,0.13,0.15,0.25,0.15,0.25,0.12,0.08,0.12,0.12
e_1,0.34,0.16,0.78,0.73,0.73,0.9,0.19,0.15,0.15,0.24,0.14,0.17,0.14,0.09,0.34,0.11
d_1,0.79,0.78,0.15,0.72,0.6,0.58,0.19,0.11,0.29,0.11,0.12,0.14,0.11,0.09,0.14,0.06
c_1,0.76,0.56,0.87,0.14,0.66,0.59,0.18,0.23,0.07,0.17,0.13,0.12,0.14,0.1,0.13,0.08
b_1,0.67,0.71,0.68,0.34,0.14,0.76,0.24,0.19,0.14,0.22,0.34,0.12,0.14,0.12,0.11,0.13
a_1,0.81,0.68,0.73,0.82,0.33,0.1,0.23,0.14,0.16,0.2,0.14,0.13,0.25,0.09,0.15,0.09
h_1,0.51,0.49,0.48,0.56,0.64,0.47,0.06,0.11,0.12,0.13,0.1,0.1,0.09,0.14,0.09,0.08
c_0,0.51,0.57,0.27,0.93,0.62,0.54,0.16,0.06,0.16,0.16,0.12,0.12,0.11,0.08,0.1,0.07
d_0,0.54,0.27,1.14,0.57,0.61,0.55,0.14,0.13,0.06,0.17,0.12,0.12,0.11,0.08,0.11,0.1
g_1,0.53,0.51,0.57,0.59,0.54,0.47,0.13,0.1,0.13,0.05,0.1,0.11,0.11,0.06,0.1,0.12
b_0,0.48,0.48,0.43,0.81,0.96,0.52,0.13,0.06,0.14,0.15,0.06,0.12,0.11,0.07,0.1,0.07
f_0,1.01,0.48,0.47,0.44,0.61,0.52,0.15,0.12,0.12,0.09,0.1,0.05,0.14,0.07,0.1,0.05
a_0,0.56,0.52,0.4,0.57,0.77,1.06,0.14,0.08,0.13,0.13,0.06,0.12,0.05,0.08,0.12,0.09
h_0,0.61,0.46,0.47,0.65,0.47,0.46,0.21,0.1,0.12,0.14,0.11,0.1,0.09,0.12,0.08,0.08
e_0,0.84,0.89,0.44,0.5,0.45,0.43,0.15,0.1,0.12,0.13,0.12,0.05,0.11,0.06,0.04,0.06
g_0,0.66,0.5,0.43,0.76,0.44,0.45,0.12,0.1,0.12,0.18,0.1,0.09,0.1,0.06,0.09,0.11
