,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.18,12.34,11.21,10.8,12.97,10.3,2.73,3.25,2.42,2.19,3.35,,1.82,3.32,1.73,3.36
d_1,14.74,0.17,13.59,15.29,9.73,14.3,4.12,2.42,2.5,,2.2,2.68,1.41,2.34,1.26,2.7
e_1,8.49,16.22,0.17,11.89,16.89,10.77,3.42,4.11,2.62,2.72,2.46,2.66,1.63,2.06,2.19,
c_1,11.91,15.83,16.92,0.15,9.17,21.18,2.94,3.95,,1.18,3.2,2.63,1.61,2.77,1.93,2.36
b_1,10.7,15.13,15.59,7.15,0.14,15.86,3.32,3.48,3.48,2.83,,2.16,1.96,2.41,1.78,2.3
a_1,16.48,16.56,13.58,11.97,7.69,0.1,4.17,3.43,2.46,2.48,,,1.51,,1.49,
h_1,2.67,3.04,3.09,3.72,3.03,2.64,0.07,0.96,0.7,0.82,0.62,0.63,,0.62,0.58,0.68
g_1,5.48,3.21,3.94,3.95,3.82,3.25,0.78,0.06,0.58,0.52,0.84,0.49,0.36,0.88,,
c_0,2.16,1.44,2.77,,3.48,2.68,0.58,0.64,0.08,0.68,0.55,0.59,0.28,,0.38,0.44
d_0,2.04,,1.43,1.79,2.83,3.21,0.71,1.08,0.51,0.08,0.48,0.46,0.38,0.62,0.29,0.74
b_0,2.78,2.65,3.18,4.2,,,0.62,0.69,0.26,0.37,0.07,0.5,0.38,0.74,0.4,0.46
f_0,,1.75,3.11,2.63,2.52,,0.76,0.45,0.44,0.59,0.39,0.07,0.45,0.57,0.25,0.48
h_0,1.72,1.9,1.47,1.77,1.75,1.45,,0.44,0.31,0.36,0.26,0.33,,0.27,0.28,0.29
a_0,2.69,2.7,3.15,2.77,3.62,,1.04,0.56,,0.67,0.26,0.61,0.29,0.04,0.28,
g_0,2.52,1.47,1.64,1.65,2.67,1.73,0.33,,0.32,0.42,0.35,0.33,0.18,0.3,,0.31
e_0,2.69,2.7,,2.8,2.07,,0.61,,0.74,0.44,0.43,0.28,0.36,,0.27,0.04
