,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,2.27,0.03,0.03,0.02,0.03,0.02,0.05,0.05,0.13,0.05,,0.07,0.08,0.04,0.05,0.06
f_1,0.03,2.29,0.06,0.02,0.03,0.03,0.06,0.04,0.06,0.07,0.06,,0.05,0.04,0.04,0.07
e_1,0.02,0.03,2.29,0.03,0.03,0.02,0.05,0.04,0.06,0.05,0.14,0.05,0.08,0.03,,0.05
c_1,0.03,0.03,0.04,2.41,0.04,0.01,0.06,0.05,,0.04,0.09,0.06,0.08,0.05,0.04,0.08
b_1,0.02,0.04,0.03,0.02,2.55,0.05,0.06,0.04,0.07,,0.05,0.04,0.09,0.06,,0.05
a_1,0.02,0.04,0.03,0.03,0.02,2.91,0.07,0.03,0.06,0.06,0.06,0.04,0.12,,0.05,0.04
h_1,0.13,0.15,0.09,0.13,0.1,0.08,2.68,0.27,0.24,0.21,0.14,0.19,,0.17,0.16,0.38
g_1,0.17,0.09,0.08,0.1,0.11,0.07,0.16,2.88,0.21,0.21,0.22,0.28,0.39,0.19,0.15,
c_0,0.12,0.13,0.14,,0.09,0.12,0.26,0.29,2.03,0.61,0.21,0.35,0.42,0.27,0.22,0.33
b_0,0.18,0.14,0.13,0.14,,0.07,0.27,0.25,0.38,2.09,0.36,0.32,0.35,0.41,0.18,0.27
d_0,,0.16,0.19,0.31,0.11,0.09,0.28,0.22,0.25,0.24,1.95,0.3,0.45,0.27,0.24,0.32
f_0,0.14,,0.13,0.14,0.17,0.1,0.29,0.31,0.26,0.29,0.24,2.16,0.39,0.17,,0.34
h_0,0.26,0.21,0.21,0.21,0.18,0.15,,0.39,0.5,0.65,0.45,0.41,,0.3,0.45,0.58
a_0,0.12,0.15,0.09,0.12,0.1,,0.35,0.26,0.26,0.23,0.25,0.37,0.43,2.61,,0.55
e_0,0.14,0.13,,0.15,,0.12,0.25,0.33,0.31,0.25,0.25,,0.44,,2.71,0.35
g_0,0.33,0.2,0.15,0.16,0.22,0.15,0.39,,0.5,0.42,0.52,0.71,0.52,0.26,0.36,
