,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.67,0.91,1.51,1.56,1.36,1.38,0.74,0.64,0.6,0.54,0.51,0.58,0.53,0.44,0.61,0.46
f_1,1.62,0.66,1.29,1.53,1.18,1.23,0.45,0.77,0.52,0.49,0.49,0.73,0.43,0.3,0.41,0.37
d_1,1.51,1.61,0.64,1.3,1.38,1.33,0.64,0.45,0.84,0.59,0.59,0.48,0.51,0.41,0.52,0.29
c_1,1.17,1.49,1.76,0.64,1.84,1.35,0.71,0.6,0.35,0.68,0.51,0.47,0.52,0.39,0.44,0.4
b_1,1.69,1.85,1.63,0.91,0.62,1.62,0.77,0.79,0.57,0.6,0.89,0.71,0.44,0.55,0.59,0.55
a_1,1.79,1.97,1.87,2.03,1.08,0.57,0.97,1.06,0.66,0.69,0.81,0.52,1.61,0.59,0.59,0.76
h_1,2.07,2.48,1.98,2.16,2.13,1.78,0.58,0.99,0.76,0.81,0.79,0.86,0.7,0.91,0.66,0.73
g_1,2.34,2.72,2.37,2.3,1.97,1.7,0.83,0.56,0.94,0.86,0.92,0.93,0.84,0.72,0.73,0.8
d_0,1.46,2.5,2.9,2.98,2.53,2.65,1.16,1.01,0.63,0.83,0.87,0.7,0.83,0.72,0.84,0.72
c_0,2.34,2.5,1.42,4.25,3.21,2.12,1.16,1.11,1.22,0.61,0.98,0.82,0.87,0.82,0.85,0.61
b_0,2.55,2.52,1.91,3.03,3.85,1.91,1.08,1.09,0.93,0.52,0.58,0.83,0.93,0.79,0.81,0.68
f_0,2.53,4.67,2.31,3.01,2.51,2.67,1.12,0.8,1.08,0.87,0.83,0.57,0.82,0.96,1.03,0.51
a_0,2.47,3.22,2.71,2.62,3.68,2.45,1.21,1.1,1.0,0.84,0.64,0.89,0.62,0.84,1.08,0.88
h_0,2.53,3.42,2.8,2.81,2.37,2.04,1.66,1.1,1.01,0.87,0.94,0.81,0.87,1.11,0.98,0.86
e_0,4.64,4.05,2.66,3.07,2.87,2.47,1.31,1.37,1.12,0.98,1.11,0.55,0.77,0.69,0.57,0.76
g_0,3.49,3.35,3.01,3.39,2.76,2.4,1.07,1.93,1.14,1.14,1.17,1.14,0.86,0.69,0.93,1.06
