,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,94.74,96.77,86.98,122.69,190.22,468.17,9416.22,24042.71,23145.35,25950.85,58096.92,69753.53,142811.09,131924.12,145612.02,336079.91
e_1,61.48,102.69,78.29,131.77,172.62,497.48,11194.68,34615.44,22544.13,26912.76,58485.11,100029.63,174500.35,162649.35,175383.17,354945.15
d_1,66.91,65.17,129.19,79.51,146.32,456.17,9394.61,17482.37,19770.46,38774.22,61595.73,81766.93,168381.34,164125.46,180973.65,273680.8
c_1,53.29,54.62,82.51,148.9,236.83,427.34,9062.72,16841.38,19339.12,18270.13,43812.54,73477.0,147266.03,139096.67,133576.52,282016.27
b_1,43.27,50.95,75.89,71.0,221.16,633.08,8062.72,15175.35,17044.57,18776.67,32204.36,68091.39,114598.64,114871.86,108237.01,239377.65
a_1,35.87,36.39,51.1,60.85,79.72,509.07,5683.28,12210.79,12667.75,15397.22,36451.3,56048.91,96239.92,110225.85,92359.05,194190.18
h_1,18.14,16.42,24.43,25.08,43.08,110.85,3246.58,5411.23,7090.99,6765.24,13905.87,19965.01,35712.27,43338.78,39658.97,93423.51
d_0,12.36,11.2,14.42,32.42,43.4,87.8,1995.15,5312.48,4141.42,4180.91,10210.85,18512.9,32422.57,34532.66,31910.82,67771.15
g_1,11.04,12.26,23.14,20.17,34.11,85.4,1680.95,3932.58,6022.64,5370.25,11936.7,22618.19,30881.77,36628.28,33973.4,56252.13
c_0,12.59,11.98,17.24,18.04,30.76,87.59,2022.85,4324.82,4908.79,6401.27,16622.27,17977.55,32191.74,33869.85,38953.34,66498.12
b_0,10.06,10.33,13.81,17.2,23.22,46.02,1683.02,3426.89,3438.08,3625.79,10779.95,13390.55,25429.73,25019.12,40634.22,46534.23
f_0,7.92,7.35,13.99,14.16,24.77,58.99,1321.75,2543.08,2870.08,3719.81,7780.78,14869.42,24519.79,34248.85,22772.01,43469.92
h_0,8.49,6.98,10.26,11.28,19.76,53.77,1013.24,2280.57,2808.18,3090.44,6566.4,9734.13,16925.43,19044.15,18243.78,38752.15
e_0,7.32,6.39,10.5,10.58,20.25,47.62,1096.77,2167.13,2422.4,2787.13,6893.65,8712.77,17258.41,24323.87,17104.94,40058.55
a_0,7.2,6.77,9.86,11.84,19.9,35.25,1133.23,2341.67,2382.91,2969.64,5691.92,9842.26,18329.74,17855.87,24180.37,29858.26
g_0,5.18,5.32,10.49,8.75,15.72,42.11,862.18,1692.94,2064.45,2495.9,5414.36,10552.58,14237.84,14214.23,16750.33,28599.75
