,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.0,0.85,1.36,0.99,0.87,0.92,0.87,0.97,1.03,0.89,0.87,0.92,0.8,1.1,1.02,0.83
d_1,1.17,1.0,1.1,0.9,0.99,0.79,1.02,0.89,0.96,1.34,1.01,1.03,1.04,0.82,0.98,0.91
e_1,0.73,0.92,1.0,1.11,1.09,1.17,1.12,1.05,1.41,1.03,1.14,1.17,1.15,1.07,1.03,1.24
c_1,1.01,1.11,0.89,1.0,1.36,0.77,0.87,0.87,0.72,0.74,0.92,0.77,1.1,0.99,0.93,1.03
b_1,1.16,1.01,0.92,0.73,1.0,1.52,1.15,1.13,0.97,1.09,0.98,1.07,0.96,1.12,0.93,1.09
a_1,1.09,1.28,0.85,1.29,0.66,1.0,1.13,1.02,1.06,0.93,1.06,1.09,1.06,1.0,0.82,0.98
h_1,1.16,1.01,0.9,1.15,0.89,0.92,1.0,1.27,0.91,0.94,0.91,1.0,0.95,1.16,0.85,0.97
g_1,1.02,1.15,0.92,1.09,0.88,0.95,0.8,1.0,0.84,0.97,1.08,1.1,0.84,0.87,0.88,0.99
d_0,0.96,1.11,0.72,1.43,1.02,0.96,1.09,1.22,1.0,0.85,0.92,0.95,1.02,0.97,1.1,0.99
c_0,1.09,0.76,0.93,1.2,0.92,1.06,1.08,1.06,1.21,1.0,1.07,1.43,1.13,1.04,1.16,1.19
f_0,1.05,1.04,0.85,1.11,1.02,0.93,1.07,0.97,1.13,0.91,1.0,1.07,0.98,0.79,1.03,1.43
b_0,1.09,0.98,0.84,1.28,0.96,0.87,1.03,0.91,1.02,0.69,0.96,1.0,1.08,0.98,1.46,0.97
h_0,1.21,0.98,0.9,0.93,1.03,0.87,1.09,1.13,0.95,0.87,1.01,0.96,1.0,1.2,0.95,0.87
g_0,0.91,1.19,0.98,1.01,0.9,0.98,0.86,1.12,0.95,1.01,1.22,1.04,0.8,1.0,0.97,0.92
a_0,0.92,1.05,0.95,1.05,1.08,1.26,1.15,1.07,0.89,0.8,1.03,0.68,1.09,1.05,1.0,0.77
e_0,1.22,1.04,0.86,0.99,0.96,0.97,1.04,1.02,0.98,0.84,0.72,1.06,1.18,1.08,1.41,1.0
