,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.89,0.21,0.17,0.21,0.16,0.09,0.19,0.13,0.31,0.12,0.14,0.13,0.16,0.11,0.08,0.06
f_1,0.36,0.89,0.15,0.17,0.12,0.1,0.17,0.13,0.18,0.17,0.14,0.06,0.14,0.11,0.08,0.08
d_1,0.18,0.21,0.89,0.13,0.17,0.1,0.17,0.15,0.08,0.3,0.16,0.15,0.18,0.14,0.1,0.09
c_1,0.19,0.19,0.19,0.88,0.28,0.1,0.16,0.13,0.15,0.06,0.08,0.12,0.17,0.13,0.11,0.08
b_1,0.17,0.2,0.19,0.18,0.88,0.2,0.13,0.1,0.17,0.17,0.07,0.15,0.19,0.14,0.08,0.1
a_1,0.19,0.21,0.16,0.2,0.17,0.87,0.19,0.15,0.16,0.11,0.15,0.14,0.17,0.13,0.05,0.09
h_1,0.21,0.3,0.24,0.21,0.18,0.1,0.57,0.21,0.17,0.18,0.19,0.21,0.12,0.22,0.12,0.13
g_1,0.22,0.22,0.34,0.22,0.15,0.11,0.22,0.55,0.14,0.19,0.14,0.3,0.2,0.1,0.13,0.11
d_0,0.24,0.26,0.09,0.41,0.2,0.12,0.2,0.17,0.42,0.13,0.18,0.19,0.2,0.15,0.12,0.12
c_0,0.26,0.22,0.27,0.14,0.12,0.14,0.25,0.19,0.23,0.44,0.37,0.21,0.19,0.21,0.14,0.11
b_0,0.22,0.25,0.26,0.26,0.12,0.11,0.26,0.17,0.22,0.17,0.42,0.16,0.22,0.2,0.26,0.12
f_0,0.19,0.14,0.26,0.24,0.18,0.14,0.19,0.19,0.22,0.23,0.17,0.4,0.23,0.23,0.15,0.26
h_0,0.24,0.38,0.21,0.22,0.18,0.13,0.14,0.22,0.22,0.18,0.17,0.15,0.13,0.23,0.13,0.1
g_0,0.21,0.24,0.39,0.22,0.2,0.12,0.21,0.1,0.18,0.17,0.17,0.24,0.2,0.1,0.09,0.1
a_0,0.24,0.25,0.22,0.25,0.18,0.09,0.23,0.16,0.22,0.24,0.2,0.16,0.25,0.18,0.36,0.1
e_0,0.11,0.24,0.24,0.26,0.21,0.14,0.27,0.17,0.23,0.21,0.18,0.19,0.21,0.19,0.13,0.37
