,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,104.99,85.0,62.96,75.02,115.31,335.32,5065.81,18284.95,14437.5,15149.58,31972.39,30339.52,79368.75,97774.42,146972.84,115648.18
e_1,47.09,108.95,56.23,103.38,119.45,344.7,6578.48,28515.33,17714.33,20287.95,34953.24,47350.0,85537.08,90669.71,147313.55,96301.12
d_1,53.03,53.32,127.57,53.57,107.27,406.01,5482.82,12365.4,13684.0,28909.21,35363.78,43311.11,93767.33,80200.16,121112.58,115403.04
c_1,49.65,41.28,63.13,143.65,164.82,351.85,4816.97,12325.26,16021.07,9019.29,23570.21,40462.15,92375.74,82416.43,108320.98,109937.78
b_1,39.0,38.17,52.26,56.64,208.07,513.66,4495.33,13332.89,13494.67,15561.29,17382.67,32680.67,66032.91,54842.65,110975.82,97776.3
a_1,29.73,29.28,36.07,40.34,48.93,553.0,3756.76,10003.57,9225.85,10376.51,22121.04,23191.62,50984.94,39014.62,68575.09,61310.42
h_1,19.84,13.61,18.98,23.39,33.66,96.53,2601.4,4927.7,5955.91,5304.92,8634.67,10664.43,21496.75,22802.23,51927.83,31056.86
d_0,10.82,9.96,10.48,27.79,23.09,64.52,1328.63,5115.89,3281.69,3331.81,6342.36,10140.03,19670.58,16414.87,33352.13,27124.11
g_1,11.61,9.44,19.47,15.65,21.77,74.01,1047.82,2924.22,5878.89,3783.23,6930.86,12050.99,16058.03,15213.76,21410.42,23130.47
c_0,12.05,11.67,12.91,14.66,17.03,74.51,1280.04,4179.28,3173.87,5513.17,12017.79,8722.66,19923.59,23572.61,34207.82,25847.91
b_0,9.56,9.6,11.94,13.76,13.55,40.95,1221.31,3550.14,2964.61,3009.56,8177.25,7704.51,15531.92,26954.61,25438.3,21601.57
f_0,6.68,7.49,10.74,12.33,20.85,59.87,1122.07,2994.26,2495.34,3229.67,5968.01,9839.34,15293.18,14299.17,19106.63,33350.34
h_0,8.68,6.73,8.83,9.85,16.6,44.43,592.21,2084.48,2991.98,2121.87,4379.2,5293.96,10214.25,11035.49,21050.77,12957.95
a_0,7.03,6.97,8.44,10.08,14.25,38.05,832.3,2678.09,2172.37,2205.52,3529.56,5858.24,13163.87,17489.41,16524.65,15982.16
g_0,5.53,5.61,9.87,9.71,13.09,47.24,595.05,1797.27,1584.61,1899.02,3929.66,7077.62,9568.27,9576.65,12477.68,13910.9
e_0,6.5,4.78,7.69,8.58,13.24,42.15,842.61,1930.35,2039.63,2145.95,4019.38,4076.15,12014.05,9518.91,14615.88,23620.57
