,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.34,0.88,1.04,0.92,0.91,0.85,0.94,0.93,0.94,1.07,1.0,0.78,1.04,0.79,1.12
e_1,0.74,1.0,1.2,0.9,0.98,1.02,1.05,1.38,1.24,1.0,1.09,1.01,1.25,1.04,1.24,0.9
c_1,1.14,0.83,1.0,1.07,1.44,0.88,0.98,0.73,1.02,0.68,0.95,0.83,1.05,0.84,0.95,1.15
d_1,0.96,1.11,0.94,1.0,0.88,0.91,1.18,1.06,0.81,1.31,1.06,1.06,0.99,1.04,0.99,0.79
b_1,1.09,1.02,0.69,1.13,1.0,1.5,0.95,1.04,1.04,0.89,0.95,1.05,1.03,0.99,1.1,0.92
a_1,1.1,0.98,1.14,1.1,0.67,1.0,1.02,1.2,0.93,1.03,0.95,1.08,1.06,0.98,0.98,1.05
h_1,1.18,0.94,1.01,0.89,1.02,0.98,1.0,0.86,1.23,1.12,0.8,0.87,1.01,0.83,0.87,1.05
d_0,1.11,0.72,1.45,1.03,0.95,0.85,1.17,1.0,1.03,1.07,1.2,1.04,1.08,0.79,0.85,1.56
g_1,1.04,0.85,1.03,1.22,0.99,1.08,0.8,0.95,1.0,0.76,1.27,0.93,0.82,1.12,1.06,1.17
c_0,1.09,1.01,1.29,0.73,1.15,0.94,0.91,0.91,1.29,1.0,0.97,1.4,1.03,1.06,1.16,0.96
f_0,1.06,0.8,1.09,0.99,1.07,1.06,1.24,0.83,0.77,1.04,1.0,1.03,0.97,1.49,1.0,0.95
b_0,1.04,0.99,1.24,0.85,0.94,0.95,1.12,0.96,1.09,0.74,0.97,1.0,0.9,0.89,1.3,0.93
h_0,1.36,0.8,0.95,0.95,0.96,0.94,1.1,0.9,1.2,0.94,0.96,1.09,1.0,0.96,0.9,1.1
e_0,0.96,0.92,1.2,0.82,1.16,0.92,1.23,1.31,0.93,0.92,0.69,1.14,1.04,1.0,1.04,1.09
a_0,1.28,0.82,1.08,1.06,0.98,1.04,1.14,1.15,0.93,0.87,0.96,0.76,1.14,1.0,1.0,1.18
g_0,0.89,1.08,0.89,1.24,1.02,0.98,0.95,0.67,0.84,1.08,1.01,1.05,0.92,0.93,0.89,1.0
