,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.0,1.22,1.1,1.1,1.1,0.79,0.56,0.69,0.73,0.6,0.67,,0.5,0.44,0.6,0.43
e_1,0.82,1.0,1.06,0.73,0.93,0.84,0.71,0.59,0.95,0.63,0.64,0.67,0.67,0.59,0.47,
d_1,0.91,0.94,1.0,1.0,0.91,0.77,0.74,0.43,,0.95,0.7,0.72,0.55,0.8,0.39,0.68
c_1,0.91,1.36,1.0,1.0,1.32,1.05,0.6,0.69,0.44,,0.62,0.53,0.89,0.62,0.62,0.47
b_1,0.91,1.07,1.09,0.75,1.0,1.51,0.88,0.66,0.73,0.61,,0.65,0.73,0.66,0.63,0.51
a_1,1.27,1.2,1.3,0.95,0.66,1.0,1.09,1.02,0.68,0.88,0.64,0.6,,0.83,0.53,
h_1,1.79,1.4,1.34,1.68,1.14,0.92,1.0,1.0,0.99,0.93,0.83,0.88,0.68,,0.93,0.74
g_1,1.44,1.7,2.35,1.45,1.52,0.98,1.0,1.0,0.75,0.94,0.88,1.03,0.68,0.74,,
d_0,1.38,1.05,,2.29,1.38,1.47,1.01,1.33,1.0,1.07,0.84,0.99,0.88,1.1,0.74,0.78
c_0,1.68,1.59,1.06,,1.64,1.14,1.08,1.07,0.94,1.0,1.58,0.84,0.96,1.01,0.79,
b_0,1.48,1.57,1.43,1.6,,1.55,1.2,1.14,1.19,0.63,1.0,0.94,1.25,1.04,1.09,0.82
f_0,,1.49,1.38,1.87,1.54,1.68,1.14,0.97,1.01,1.19,1.07,1.0,0.79,0.9,0.73,
a_0,1.99,1.5,1.82,1.13,1.37,,1.48,1.48,1.14,1.04,0.8,1.27,1.0,1.06,1.15,
h_0,2.27,1.68,1.26,1.62,1.51,1.2,,1.35,0.91,0.99,0.97,1.12,0.95,,1.29,1.06
g_0,1.66,2.13,2.54,1.61,1.59,1.87,1.07,,1.35,1.27,0.92,1.36,0.87,0.77,,1.04
e_0,2.32,,1.47,2.14,1.97,,1.35,,1.29,,1.21,,,0.95,0.96,1.0
