,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.85,0.86,1.04,0.86,0.67,0.51,0.5,0.58,0.43,0.42,0.48,0.36,0.37,0.33,0.36
f_1,1.15,1.0,0.95,0.96,0.82,0.68,0.46,0.49,0.45,0.38,0.39,0.36,0.35,0.3,0.33,0.25
d_1,1.15,1.08,1.0,0.94,0.85,0.72,0.53,0.39,0.42,0.54,0.45,0.38,0.33,0.36,0.26,0.28
c_1,0.97,1.07,1.07,1.0,1.19,0.67,0.5,0.47,0.35,0.4,0.36,0.38,0.37,0.36,0.32,0.31
b_1,1.14,1.19,1.17,0.85,1.0,1.15,0.53,0.52,0.46,0.55,0.48,0.45,0.39,0.43,0.35,0.34
a_1,1.48,1.5,1.39,1.48,0.88,1.0,0.84,0.67,0.64,0.58,0.68,0.55,0.54,0.55,0.46,0.46
h_1,2.02,2.19,1.93,1.96,1.93,1.15,1.0,1.04,0.85,0.85,0.83,0.75,0.7,0.7,0.69,0.61
g_1,2.01,1.98,2.44,2.07,1.81,1.5,0.98,1.0,0.81,0.93,0.84,0.98,0.73,0.71,0.66,0.73
d_0,1.75,2.19,2.4,2.83,2.08,1.57,1.21,1.23,1.0,0.81,0.91,0.98,0.79,0.84,0.75,0.78
c_0,2.27,2.71,1.87,2.47,1.9,1.72,1.15,1.12,1.18,1.0,1.26,0.99,0.9,0.91,0.69,0.7
b_0,2.3,2.56,2.19,2.74,2.08,1.58,1.19,1.18,1.06,0.8,1.0,0.99,1.16,0.89,0.78,0.8
f_0,2.11,2.78,2.7,2.5,2.2,1.8,1.33,1.02,1.05,1.03,1.0,1.0,0.89,0.96,0.64,1.09
a_0,2.83,2.91,2.99,2.71,2.7,1.71,1.41,1.36,1.2,1.11,0.94,1.16,1.0,0.96,0.94,0.91
h_0,2.77,3.35,2.83,2.69,2.41,1.81,1.39,1.38,1.19,1.07,1.08,1.0,1.03,1.0,0.98,0.83
g_0,3.1,3.12,3.76,3.0,2.85,2.24,1.44,1.5,1.33,1.42,1.28,1.5,1.05,1.04,1.0,0.95
e_0,2.9,3.91,3.47,3.21,2.87,2.22,1.64,1.38,1.28,1.45,1.27,0.95,1.11,1.08,1.03,1.0
