,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.4,0.92,0.85,0.78,0.81,0.76,0.37,0.3,0.43,0.38,0.56,0.36,0.27,0.33,0.35,0.23
f_1,0.73,0.4,0.87,0.88,0.72,0.82,0.36,0.49,0.34,0.34,0.41,0.38,0.27,0.35,0.33,0.34
e_1,0.89,0.53,0.4,0.94,0.85,0.71,0.51,0.5,0.39,0.37,0.43,0.46,0.35,0.43,0.66,0.37
c_1,0.97,0.86,0.65,0.38,1.04,0.7,0.42,0.47,0.44,0.31,0.21,0.34,0.3,0.37,0.31,0.3
b_1,0.81,0.92,0.79,0.46,0.36,1.26,0.48,0.46,0.43,0.5,0.36,0.33,0.33,0.37,0.36,0.29
a_1,0.85,0.78,0.94,0.94,0.45,0.32,0.55,0.49,0.37,0.49,0.48,0.4,0.4,0.69,0.44,0.33
h_1,0.77,0.76,0.69,0.76,0.68,0.62,0.25,0.42,0.32,0.3,0.28,0.34,0.28,0.31,0.33,0.29
g_1,0.75,0.82,0.74,0.69,0.76,0.66,0.31,0.23,0.34,0.29,0.31,0.35,0.22,0.32,0.29,0.32
c_0,0.45,0.92,0.78,1.12,0.71,0.75,0.41,0.35,0.25,0.42,0.38,0.37,0.3,0.38,0.35,0.3
b_0,0.61,0.77,0.75,0.99,0.91,0.58,0.39,0.43,0.2,0.24,0.36,0.32,0.28,0.31,0.3,0.27
d_0,0.92,0.69,0.43,0.87,0.96,0.65,0.49,0.48,0.31,0.31,0.24,0.33,0.29,0.33,0.39,0.31
f_0,0.68,1.08,0.7,0.7,0.74,0.77,0.4,0.27,0.29,0.32,0.3,0.22,0.27,0.29,0.43,0.2
h_0,0.69,0.86,0.67,0.8,0.71,0.57,0.55,0.38,0.29,0.3,0.32,0.3,0.33,0.29,0.3,0.32
a_0,0.72,0.73,0.7,0.79,0.76,0.73,0.39,0.4,0.28,0.23,0.31,0.4,0.29,0.21,0.29,0.33
e_0,0.64,0.93,0.97,0.79,0.74,0.62,0.36,0.36,0.32,0.31,0.3,0.17,0.25,0.34,0.2,0.26
g_0,0.69,0.8,0.73,0.79,0.71,0.72,0.28,0.5,0.32,0.35,0.33,0.34,0.22,0.27,0.3,0.32
