,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,1.06,0.79,1.85,1.98,3.29,23.99,26.33,37.9,29.08,52.65,47.89,98.0,111.18,129.96,159.9
d_1,0.94,1.0,1.17,1.16,1.7,2.91,20.4,17.87,24.49,36.52,37.91,43.42,71.35,85.21,106.64,93.42
f_1,1.25,0.86,1.0,1.27,1.32,2.42,15.15,20.24,27.11,26.35,27.96,34.72,47.12,62.54,85.7,126.14
c_1,0.54,0.86,0.79,1.0,1.97,2.09,15.7,15.57,14.68,17.32,27.95,25.08,58.98,54.79,73.94,81.24
b_1,0.5,0.58,0.77,0.51,1.0,2.89,12.23,13.78,16.36,21.1,22.6,26.13,46.01,54.34,43.66,81.4
a_1,0.31,0.34,0.41,0.48,0.35,1.0,7.06,6.97,7.59,10.38,13.58,14.88,22.81,28.97,38.83,42.46
h_1,0.04,0.05,0.06,0.07,0.09,0.14,1.0,1.31,1.27,1.47,1.99,1.8,4.18,4.72,5.22,7.23
g_1,0.04,0.05,0.05,0.06,0.07,0.14,0.75,1.0,1.28,1.35,2.39,1.93,2.75,4.05,4.55,6.21
d_0,0.03,0.04,0.04,0.07,0.06,0.13,0.8,0.82,1.0,1.06,1.4,1.21,2.71,3.13,3.3,5.2
c_0,0.03,0.03,0.04,0.05,0.05,0.1,0.68,0.75,0.96,1.0,1.36,1.79,2.51,2.97,3.78,4.59
f_0,0.02,0.03,0.04,0.04,0.04,0.08,0.51,0.42,0.74,0.74,1.0,0.96,2.04,3.05,2.25,2.82
b_0,0.02,0.02,0.03,0.04,0.04,0.07,0.56,0.52,0.82,0.59,1.08,1.0,1.9,2.0,3.54,3.42
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.25,0.38,0.35,0.39,0.5,0.55,1.0,1.1,1.23,1.75
e_0,0.01,0.01,0.02,0.02,0.02,0.03,0.22,0.26,0.33,0.34,0.34,0.48,0.93,1.0,1.2,1.27
a_0,0.01,0.01,0.01,0.02,0.02,0.02,0.21,0.22,0.32,0.24,0.44,0.27,0.82,0.78,1.0,1.12
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.14,0.16,0.2,0.23,0.36,0.31,0.58,0.74,0.8,1.02
