,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,102.88,13.15,10.19,19.0,26.95,107.26,2051.58,2829.5,,7054.73,4915.92,8654.37,22797.38,22060.37,35717.77,32317.12
f_1,9.9,109.0,19.61,26.19,24.99,75.98,1803.76,2795.51,3576.45,4322.18,5232.73,,20523.03,19219.74,42004.47,21441.93
e_1,13.29,10.84,110.09,20.18,25.22,85.62,1785.9,2993.06,5936.71,4588.3,5720.83,9891.63,16419.82,15273.55,30177.98,
c_1,8.88,7.99,10.41,173.44,34.24,56.42,1848.37,2952.48,3201.46,,3223.51,8607.52,16839.27,13947.09,31591.77,34625.13
b_1,10.01,10.06,10.58,14.64,209.27,,1320.15,2050.7,2908.37,2908.9,,7483.56,13968.92,,29181.72,26166.16
a_1,5.8,7.82,7.04,11.78,,499.21,1349.85,,2416.02,2253.05,2551.32,5066.69,10150.26,,19516.95,
h_1,4.97,6.85,5.58,10.32,12.72,25.97,3198.43,1983.34,1696.67,1832.46,1886.55,3458.71,,9035.75,22850.01,11237.04
g_1,6.45,4.69,4.75,9.14,12.1,,618.97,4599.71,1474.86,1833.3,2077.8,3974.01,7593.81,,,
d_0,,5.44,4.66,13.74,12.41,29.72,1004.98,1043.94,4155.37,1629.72,2465.95,3939.16,9312.49,6985.07,16982.2,17395.69
c_0,4.31,4.65,3.92,,12.39,34.21,841.26,1052.17,1974.29,4387.8,3555.76,3849.63,8703.58,8650.23,13971.14,17921.48
b_0,4.96,4.88,4.24,10.04,,25.61,861.27,1298.53,1504.41,1381.88,5690.02,2276.91,8879.65,9223.32,14288.2,9682.45
f_0,4.1,,3.75,5.9,9.7,24.84,720.19,956.36,1320.66,1501.22,2127.16,8155.68,6095.14,6328.91,8656.95,18539.78
h_0,3.59,5.65,4.3,5.74,10.07,25.23,,1073.46,1230.15,1598.68,1504.32,2869.49,,5790.24,13658.32,8593.58
a_0,2.46,3.6,3.74,7.07,,,498.59,,1172.73,1045.3,1376.44,2179.83,5860.51,15377.15,9945.9,
g_0,4.23,3.07,4.25,5.33,7.24,18.96,417.55,,863.03,1222.07,1234.8,3866.51,4869.7,3733.48,,
e_0,2.83,2.79,,3.5,5.47,,503.18,,730.73,766.88,1653.49,1708.04,5605.62,,,24025.85
