,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.17,0.38,0.39,0.32,0.33,0.3,0.1,0.07,0.07,0.1,0.07,0.07,0.05,0.07,0.03,0.07
f_1,0.34,0.16,0.33,0.39,0.38,0.3,0.08,0.07,0.11,0.08,0.07,0.09,0.04,0.06,0.06,0.06
e_1,0.4,0.22,0.16,0.38,0.39,0.34,0.1,0.08,0.12,0.08,0.08,0.09,0.05,0.07,0.06,0.09
c_1,0.41,0.39,0.28,0.13,0.38,0.29,0.09,0.1,0.09,0.05,0.07,0.07,0.05,0.07,0.05,0.06
b_1,0.37,0.44,0.34,0.21,0.12,0.36,0.13,0.09,0.11,0.07,0.12,0.07,0.05,0.08,0.06,0.07
a_1,0.39,0.4,0.35,0.38,0.18,0.09,0.11,0.08,0.12,0.07,0.09,0.08,0.06,0.1,0.06,0.07
h_1,0.28,0.32,0.32,0.4,0.31,0.29,0.05,0.06,0.08,0.08,0.06,0.07,0.05,0.06,0.04,0.06
c_0,0.21,0.37,0.38,0.42,0.32,0.31,0.09,0.05,0.09,0.09,0.08,0.07,0.05,0.06,0.04,0.06
g_1,0.3,0.34,0.32,0.35,0.34,0.28,0.07,0.06,0.05,0.08,0.07,0.06,0.04,0.06,0.05,0.06
d_0,0.45,0.29,0.21,0.33,0.34,0.32,0.1,0.07,0.11,0.05,0.08,0.07,0.05,0.07,0.06,0.07
b_0,0.26,0.34,0.33,0.47,0.35,0.29,0.1,0.04,0.09,0.07,0.04,0.08,0.05,0.07,0.05,0.06
f_0,0.31,0.41,0.31,0.35,0.28,0.3,0.09,0.07,0.06,0.07,0.07,0.04,0.05,0.07,0.03,0.07
h_0,0.31,0.31,0.3,0.32,0.31,0.28,0.11,0.07,0.09,0.07,0.06,0.07,0.06,0.06,0.05,0.05
a_0,0.29,0.35,0.32,0.4,0.36,0.35,0.09,0.05,0.09,0.08,0.04,0.07,0.05,0.03,0.04,0.06
g_0,0.3,0.38,0.33,0.35,0.28,0.26,0.08,0.07,0.1,0.08,0.07,0.06,0.03,0.06,0.05,0.06
e_0,0.3,0.39,0.36,0.28,0.31,0.28,0.09,0.07,0.06,0.08,0.05,0.04,0.05,0.06,0.04,0.04
