,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.17,14.79,14.07,13.84,13.22,12.15,3.15,,2.62,2.19,2.98,2.4,1.97,2.41,2.88,0.95
f_1,10.79,0.17,10.25,18.08,15.17,8.67,2.19,2.91,3.11,3.78,3.32,,1.51,2.89,2.37,1.86
e_1,12.31,7.34,0.16,13.15,11.8,14.43,4.03,2.55,2.2,5.85,3.91,2.89,1.72,2.74,,2.19
c_1,14.7,13.43,14.42,0.15,12.0,,3.01,1.52,,3.31,2.18,2.32,2.04,3.08,2.92,2.2
b_1,17.82,12.04,12.17,7.02,0.13,18.48,3.47,2.68,2.62,3.39,,2.41,2.06,3.26,2.28,1.83
a_1,13.8,11.67,19.24,,8.01,0.1,2.77,1.76,2.54,3.39,3.38,,1.73,,,1.58
h_1,2.73,2.51,3.65,3.1,2.49,5.14,0.07,0.75,0.62,1.01,0.64,0.85,,0.57,1.0,0.61
d_0,,2.61,1.44,2.37,2.18,2.71,0.62,0.09,0.56,0.81,0.61,0.52,0.35,0.67,0.45,0.43
c_0,1.66,2.49,2.95,,3.58,2.54,0.71,0.59,0.08,0.76,0.45,0.46,0.37,0.44,0.35,0.49
g_1,5.18,4.68,3.74,2.98,3.39,3.39,0.8,0.92,0.79,0.06,0.66,0.75,0.25,,0.69,
b_0,2.06,3.45,3.57,3.57,,2.67,0.93,0.4,0.27,0.71,0.07,0.51,0.35,0.46,,0.38
f_0,2.14,,3.42,2.4,2.32,,0.89,0.56,0.52,0.5,0.47,0.07,0.43,0.74,0.4,0.22
h_0,1.97,1.41,1.55,1.64,1.91,1.82,,0.32,0.42,0.37,0.29,0.29,,0.33,0.31,0.28
a_0,2.62,4.81,3.05,2.18,3.51,,0.72,0.54,0.46,,0.37,0.44,0.32,0.05,,0.34
e_0,2.48,4.2,,2.48,2.4,,0.76,0.67,0.62,0.74,,0.25,0.38,,0.05,0.26
g_0,1.86,1.67,1.92,1.38,2.95,1.78,0.5,0.33,0.42,,0.34,0.37,0.16,0.28,0.37,
