,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,5.69,0.09,0.07,0.06,0.06,0.06,0.32,0.24,0.7,0.47,0.45,0.31,0.25,0.53,0.45,
f_1,0.12,5.8,0.09,0.07,0.06,0.08,0.33,0.25,0.32,0.36,0.51,,0.4,0.48,0.54,0.24
d_1,0.07,0.07,6.18,0.06,0.08,0.1,0.34,0.29,,0.79,0.37,0.28,0.34,0.66,0.49,
c_1,0.08,0.08,0.05,6.41,0.15,0.06,0.32,0.32,0.38,,0.28,0.33,0.34,0.73,0.51,0.54
b_1,0.1,0.1,0.08,0.08,7.7,0.11,0.24,0.23,0.38,0.23,,0.49,0.3,0.64,0.37,0.4
a_1,0.06,0.06,0.07,0.07,0.09,11.5,,0.29,0.42,0.47,0.31,0.26,,0.7,0.43,
h_1,0.3,0.39,0.22,0.33,0.32,,13.82,1.38,1.4,1.27,1.38,1.19,1.2,,3.29,1.93
g_1,0.33,0.14,0.38,0.32,0.32,0.36,1.19,16.13,1.11,1.33,0.97,2.72,1.25,1.12,,1.96
d_0,0.29,0.35,,0.74,0.38,0.3,1.73,1.44,12.14,1.15,1.97,2.44,1.72,3.06,3.2,1.63
c_0,0.4,0.36,0.46,,0.3,0.36,1.22,1.72,1.64,12.59,3.05,2.23,1.76,2.96,2.94,1.33
b_0,0.27,0.47,0.36,0.38,,0.42,1.43,1.61,1.85,1.77,13.4,1.94,2.56,3.23,3.45,1.45
f_0,0.33,,0.51,0.48,0.27,0.45,1.44,1.5,1.8,1.12,2.22,14.41,1.37,3.58,2.56,3.91
a_0,0.24,0.47,0.42,0.29,0.3,,1.89,1.18,2.45,1.92,1.64,1.67,19.52,1.65,2.28,
h_0,0.47,0.87,0.63,0.53,0.62,0.52,,2.46,2.73,3.13,2.03,1.19,4.3,,7.09,2.69
g_0,0.64,0.28,0.64,0.42,0.5,0.63,1.4,,2.77,3.6,2.74,5.38,3.42,5.28,,2.38
e_0,,0.34,,0.4,0.48,,1.51,1.27,2.17,2.0,2.3,1.96,,4.53,2.6,22.04
