,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,97.68,29.09,35.33,59.72,90.77,294.72,5088.45,17132.15,13053.96,10669.84,18887.07,30488.49,50922.24,67168.67,94145.28,40993.37
f_1,46.85,105.17,33.92,50.89,77.84,298.2,4823.16,11227.15,9722.25,11177.96,12826.63,12463.62,48878.87,56489.69,86973.79,72464.61
d_1,28.44,36.24,106.9,43.42,92.25,283.42,4295.1,7102.38,16458.38,11212.46,17270.47,28537.29,60032.57,75162.14,87065.03,100684.74
c_1,25.14,28.74,28.37,148.83,117.68,339.53,4112.47,8611.16,3066.97,7568.67,10297.76,27101.09,43192.83,54518.76,80034.38,105659.81
b_1,25.0,28.59,20.12,39.12,242.76,302.22,3032.99,6848.11,6653.49,6093.48,4263.09,20595.43,39539.26,41896.43,50151.1,73779.88
a_1,15.45,14.14,19.69,19.86,46.24,665.34,2695.86,5227.74,4596.3,4410.34,9277.25,11468.51,28961.74,,37668.51,47237.58
h_1,9.3,13.59,11.68,15.25,24.86,74.97,2939.79,2610.5,3259.31,4326.58,5068.92,8702.7,9854.78,17530.14,34374.73,32895.83
d_0,6.19,8.77,4.74,21.79,24.14,77.15,1360.25,4221.04,2798.53,2827.78,4814.25,6826.5,16378.5,15672.73,22261.75,28071.77
c_0,7.56,9.26,8.39,10.19,22.27,67.68,1311.75,2664.8,4379.93,3070.83,7068.69,7502.91,15558.25,21057.46,23675.4,32683.35
g_1,7.09,7.7,11.13,12.67,19.89,62.82,967.57,2334.72,2576.67,5671.44,3473.7,7638.92,12215.24,15918.89,14586.91,25509.68
b_0,5.27,9.97,7.95,12.93,9.87,53.31,1255.04,2285.29,2194.09,2760.05,6107.37,6678.6,14214.31,22992.69,17062.3,24765.03
f_0,4.6,4.23,7.49,9.45,17.2,68.66,994.97,2083.05,2138.31,2273.89,3162.59,9469.07,11862.05,11779.14,15743.39,42770.46
h_0,4.58,6.66,5.22,8.3,15.94,47.58,442.62,1433.75,1669.99,2025.22,2384.73,3486.14,5460.12,9579.97,17655.33,15723.12
a_0,4.08,5.46,6.06,6.15,11.66,,682.69,1576.93,1567.73,1432.94,2517.21,4668.27,7947.38,18607.11,12478.25,17784.56
g_0,3.22,4.65,5.98,6.28,13.39,40.74,576.87,1291.95,1224.84,1000.96,2557.62,5295.52,6680.11,5680.16,,17155.66
e_0,2.51,4.51,5.31,5.53,13.51,44.51,858.2,1307.01,930.11,1327.99,1965.51,2045.03,5889.76,7018.03,9512.67,25676.45
