,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.28,0.84,1.0,0.96,0.89,0.89,0.96,1.07,1.12,1.04,0.87,0.91,0.85,0.75,0.98
e_1,0.78,1.0,1.01,1.17,1.04,1.01,1.03,0.97,1.37,1.12,1.01,1.18,1.01,1.03,1.1,1.07
d_1,1.17,1.0,1.0,0.89,0.94,0.85,1.06,1.2,0.89,0.79,1.01,1.01,1.02,1.01,1.13,0.85
c_1,1.01,0.84,1.08,1.0,1.36,0.91,0.95,0.92,0.7,0.93,0.8,1.0,0.95,0.96,0.96,0.87
b_1,1.02,0.96,1.06,0.75,1.0,1.49,1.03,1.06,0.9,1.08,1.1,0.94,0.95,1.17,0.98,1.19
a_1,1.14,1.0,1.14,1.11,0.69,1.0,1.2,1.0,1.07,1.06,1.11,1.01,1.1,1.06,1.13,1.06
h_1,1.14,0.99,0.95,1.0,0.96,0.89,1.0,0.97,1.01,1.05,1.03,0.95,1.0,1.1,0.93,1.12
c_0,1.05,1.06,0.82,1.05,0.93,1.0,1.04,1.0,1.15,1.07,1.36,0.99,1.21,1.05,0.99,1.05
d_0,0.94,0.74,1.08,1.42,1.18,0.92,0.99,0.86,1.0,1.12,0.93,1.02,1.02,0.98,0.97,1.1
g_1,0.94,0.89,1.27,1.08,0.97,0.92,0.94,0.96,0.92,1.0,0.92,1.22,0.95,0.88,0.98,1.08
b_0,0.94,1.01,0.95,1.26,0.94,0.89,0.97,0.76,1.13,1.07,1.0,1.06,1.31,1.04,0.91,1.04
f_0,1.14,0.84,0.98,1.05,1.03,0.98,1.05,0.98,0.99,0.79,0.89,1.0,1.02,1.0,1.49,0.88
a_0,1.1,0.99,1.0,0.97,1.01,0.95,0.99,0.87,1.03,1.0,0.8,1.01,1.0,1.14,1.04,1.1
h_0,1.17,0.94,1.01,1.02,0.9,0.99,0.89,0.94,1.04,1.16,0.99,0.91,0.89,1.0,0.93,1.13
e_0,1.35,0.92,0.87,1.03,0.95,0.98,1.06,0.99,1.07,1.0,1.11,0.68,1.04,1.04,1.0,0.98
g_0,1.03,0.92,1.16,1.14,0.86,0.93,0.91,0.94,0.94,0.96,0.92,1.06,0.93,0.85,1.01,1.0
