,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.34,0.88,1.01,0.9,0.88,0.87,0.92,0.96,0.92,0.91,0.97,0.8,0.97,0.76,1.11
e_1,0.75,1.0,1.26,0.93,1.01,1.07,1.04,1.41,1.14,0.99,1.19,1.03,1.23,1.11,1.26,0.96
c_1,1.14,0.79,1.0,1.14,1.47,0.85,0.94,0.66,0.98,0.71,0.9,0.8,1.03,0.82,0.91,1.09
d_1,0.99,1.07,0.88,1.0,0.97,0.89,1.1,1.06,0.85,1.35,1.07,1.17,1.03,1.14,0.98,0.81
b_1,1.11,1.0,0.69,1.02,1.0,1.54,1.0,1.05,1.06,0.92,0.94,0.96,1.04,0.93,1.08,0.98
a_1,1.13,0.93,1.17,1.13,0.65,1.0,1.03,1.16,0.96,1.06,0.98,1.02,1.06,1.07,1.11,1.05
h_1,1.17,0.96,1.1,0.92,0.93,0.91,1.0,0.86,1.17,0.98,0.81,0.99,0.81,0.79,0.89,1.06
d_0,1.06,0.69,1.45,1.09,0.95,0.9,1.16,1.0,1.04,0.96,1.09,1.04,1.03,0.88,0.91,1.44
g_1,1.06,0.91,0.99,1.15,0.95,1.02,0.84,0.92,1.0,0.82,1.26,0.93,0.78,1.04,1.04,0.91
c_0,1.05,1.06,1.27,0.72,1.02,0.91,1.06,1.04,1.22,1.0,0.98,1.46,1.03,1.01,1.16,1.05
f_0,1.21,0.81,1.13,0.94,1.07,0.99,1.2,0.95,0.78,1.02,1.0,1.01,1.02,1.54,1.01,0.87
b_0,1.07,0.99,1.32,0.83,1.01,0.99,1.07,0.96,1.09,0.7,0.95,1.0,0.93,0.93,1.38,1.08
h_0,1.21,0.84,0.99,0.98,0.94,0.93,1.26,0.97,1.23,0.95,0.87,1.02,1.0,0.9,1.0,1.11
e_0,1.06,0.87,1.28,0.84,1.1,0.92,1.25,1.15,1.0,0.93,0.67,1.04,1.12,1.0,1.17,1.01
a_0,1.29,0.82,1.16,0.97,0.99,0.82,1.11,1.05,0.91,0.85,1.0,0.74,1.0,0.88,1.0,1.19
g_0,0.88,1.02,0.95,1.23,1.0,0.95,0.95,0.72,1.11,1.04,1.09,0.95,0.86,0.98,0.88,1.0
