,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.07,12.1,8.31,7.22,9.18,5.99,2.13,4.31,2.63,2.38,2.44,,1.51,2.74,1.82,2.76
e_1,5.31,1.07,9.31,10.19,10.13,7.11,3.22,2.84,4.09,2.72,2.46,3.06,2.13,2.62,2.03,
c_1,10.33,9.37,1.07,8.92,10.68,8.5,4.0,3.05,1.93,,3.34,2.74,1.88,1.95,2.3,2.32
d_1,12.57,10.96,12.73,1.07,10.34,10.84,3.42,2.46,,3.27,2.08,2.48,2.2,2.21,1.52,1.95
b_1,13.32,9.94,6.03,10.88,1.07,12.75,4.03,4.83,3.58,3.85,,3.82,2.72,3.57,2.52,2.33
a_1,15.77,14.26,14.08,13.87,7.42,1.07,6.1,5.36,5.24,6.08,,,4.91,,,
h_1,16.01,13.58,13.05,13.3,12.76,11.24,1.41,5.79,3.84,4.84,3.51,4.04,,3.05,3.09,4.21
g_1,13.31,18.86,17.3,18.0,16.28,13.62,5.51,1.41,5.37,4.89,3.83,5.39,2.88,5.51,,3.56
d_0,14.46,8.03,15.77,,11.97,11.09,5.39,5.2,1.74,4.14,4.21,3.71,4.22,4.31,4.79,2.52
c_0,17.47,13.91,,9.5,13.56,12.54,5.7,6.02,4.68,1.76,5.23,4.3,3.44,4.99,4.42,5.02
b_0,19.72,22.13,20.49,22.51,,,7.06,5.81,5.92,2.85,1.75,4.95,2.96,4.55,2.67,4.42
f_0,,16.36,15.68,24.43,21.58,,6.54,4.31,4.85,4.66,5.56,1.69,6.03,4.12,2.54,4.08
h_0,16.88,19.29,14.46,13.48,12.64,9.89,,5.42,3.39,4.59,5.04,2.89,,5.31,3.3,3.69
a_0,21.64,24.76,29.7,22.04,24.45,,9.05,6.66,5.56,5.74,4.72,6.35,3.72,1.69,4.35,
g_0,22.3,22.87,22.47,18.47,15.63,,6.04,,4.86,4.32,6.16,5.7,4.0,4.52,,4.28
e_0,25.43,,25.79,35.39,25.44,,9.72,10.3,8.95,5.73,5.38,4.73,5.77,,4.6,1.75
