,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.04,1.89,1.86,1.6,1.55,1.33,0.61,0.45,0.65,0.53,0.5,0.47,0.37,0.46,0.27,0.4
f_1,1.63,1.05,1.93,1.76,1.56,1.4,0.5,0.63,0.54,0.47,0.46,0.51,0.31,0.4,0.41,0.36
e_1,1.9,1.2,1.05,1.86,1.69,1.56,0.7,0.7,0.65,0.56,0.58,0.57,0.39,0.48,0.4,0.52
c_1,2.51,1.95,1.74,1.05,2.11,1.53,0.7,0.74,0.38,0.62,0.5,0.59,0.47,0.46,0.41,0.48
b_1,2.19,2.43,2.0,1.33,1.06,2.18,0.81,0.75,0.65,0.73,0.84,0.61,0.52,0.58,0.5,0.55
a_1,2.66,3.31,2.65,3.02,1.56,1.06,1.26,1.19,0.95,0.89,0.95,0.73,0.77,1.17,0.67,0.75
h_1,4.73,5.53,4.75,4.74,4.81,3.56,1.29,1.95,1.36,1.25,1.27,1.25,1.46,1.18,1.2,1.15
g_1,5.89,5.52,5.26,5.02,5.57,4.2,1.56,1.29,1.7,1.66,1.65,1.68,1.0,1.34,1.22,1.39
d_0,6.58,5.63,3.73,7.17,5.38,4.55,2.33,2.11,1.41,1.65,1.78,1.43,1.41,1.28,1.23,1.54
c_0,3.82,6.55,5.77,8.9,5.42,4.86,2.45,2.1,2.34,1.41,2.17,1.6,1.49,1.47,1.18,1.59
b_0,5.39,6.55,5.74,7.94,6.3,4.59,2.59,2.11,1.83,1.11,1.41,1.68,1.3,1.63,1.32,1.3
f_0,6.45,8.61,6.72,6.15,6.22,6.18,2.77,1.79,2.2,2.1,2.16,1.41,1.55,1.85,1.06,2.3
h_0,7.81,8.63,8.11,7.17,7.58,5.99,3.42,3.06,2.44,2.1,2.19,2.25,1.95,1.88,1.83,1.68
a_0,8.0,9.39,8.88,8.26,8.14,7.04,3.34,3.42,2.83,2.31,1.8,2.01,1.88,1.5,1.74,1.69
g_0,9.69,9.23,9.33,9.14,8.12,6.89,2.95,4.34,2.79,2.87,2.78,2.94,1.75,2.38,2.14,2.49
e_0,8.76,13.06,11.1,9.16,9.3,6.98,3.4,2.72,2.51,2.21,3.14,1.49,2.32,2.37,1.77,1.57
