,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.17,0.26,0.53,0.45,0.49,0.41,0.15,0.11,0.1,0.14,0.11,0.12,0.09,0.07,0.13,0.07
f_1,0.4,0.16,0.46,0.43,0.45,0.44,0.09,0.1,0.09,0.15,0.1,0.12,0.08,0.05,0.08,0.07
c_1,0.35,0.49,0.15,0.61,0.38,0.41,0.15,0.06,0.13,0.12,0.11,0.09,0.09,0.07,0.1,0.07
d_1,0.51,0.53,0.43,0.15,0.43,0.39,0.12,0.15,0.09,0.08,0.09,0.1,0.09,0.06,0.07,0.04
b_1,0.47,0.51,0.27,0.49,0.14,0.47,0.13,0.1,0.13,0.13,0.13,0.09,0.1,0.07,0.09,0.07
a_1,0.47,0.48,0.46,0.45,0.26,0.09,0.14,0.12,0.1,0.15,0.09,0.09,0.13,0.07,0.1,0.07
h_1,0.43,0.45,0.45,0.35,0.37,0.31,0.05,0.1,0.07,0.12,0.09,0.08,0.07,0.09,0.07,0.06
d_0,0.23,0.37,0.5,0.63,0.43,0.36,0.12,0.05,0.09,0.16,0.09,0.08,0.07,0.06,0.08,0.07
c_0,0.47,0.43,0.65,0.22,0.45,0.43,0.12,0.12,0.05,0.12,0.08,0.09,0.06,0.06,0.06,0.05
g_1,0.45,0.52,0.4,0.38,0.42,0.36,0.09,0.09,0.07,0.04,0.08,0.07,0.07,0.04,0.07,0.08
b_0,0.45,0.41,0.51,0.29,0.53,0.44,0.1,0.12,0.04,0.11,0.04,0.07,0.07,0.05,0.07,0.06
f_0,0.36,0.54,0.39,0.38,0.43,0.37,0.13,0.09,0.07,0.07,0.07,0.04,0.08,0.06,0.08,0.04
a_0,0.38,0.39,0.54,0.36,0.5,0.41,0.11,0.1,0.07,0.12,0.04,0.08,0.04,0.06,0.07,0.06
h_0,0.36,0.43,0.4,0.34,0.39,0.38,0.16,0.08,0.08,0.11,0.08,0.07,0.08,0.07,0.07,0.06
e_0,0.53,0.52,0.42,0.31,0.4,0.31,0.1,0.09,0.08,0.08,0.08,0.04,0.07,0.05,0.04,0.05
g_0,0.39,0.4,0.42,0.42,0.37,0.32,0.1,0.1,0.08,0.16,0.08,0.08,0.08,0.04,0.06,0.06
