,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.66,1.25,0.89,1.38,1.35,1.21,0.6,0.67,0.65,0.48,0.55,0.55,0.48,0.49,0.75,0.42
d_1,1.57,0.65,1.47,1.23,1.27,1.06,0.66,0.42,0.67,0.52,0.47,0.43,0.33,0.49,0.39,0.29
f_1,1.5,1.19,0.65,1.19,1.3,1.25,0.42,0.57,0.44,0.45,0.45,0.66,0.3,0.47,0.37,0.41
c_1,1.17,1.65,1.33,0.64,1.58,1.18,0.6,0.59,0.31,0.59,0.42,0.42,0.38,0.4,0.42,0.33
b_1,1.36,1.44,1.43,0.87,0.63,1.65,0.82,0.65,0.56,0.62,0.69,0.55,0.4,0.44,0.51,0.43
a_1,1.63,1.75,1.77,2.05,0.9,0.58,0.67,0.94,0.69,0.61,0.72,0.59,0.61,0.71,0.68,0.51
h_1,1.89,1.89,2.61,2.22,1.6,1.79,0.56,0.93,0.78,0.7,0.75,0.7,0.75,0.6,0.58,0.62
g_1,2.13,2.22,2.27,2.14,2.02,1.6,0.76,0.55,0.74,0.76,0.77,0.8,0.52,0.6,0.74,0.77
d_0,1.25,3.1,2.36,2.62,2.37,1.92,1.01,1.26,0.62,0.82,0.88,0.75,0.66,0.73,0.77,0.65
c_0,2.16,1.45,2.18,3.43,2.23,2.09,0.98,0.92,1.05,0.61,0.97,0.89,0.72,0.78,0.79,0.61
b_0,1.96,1.99,2.27,3.32,3.32,2.01,0.93,1.0,0.83,0.46,0.59,0.81,0.62,0.77,0.69,0.56
f_0,2.27,2.2,3.0,2.81,2.42,1.73,1.12,0.77,0.94,0.81,0.83,0.59,0.75,0.64,0.89,0.45
h_0,2.46,2.94,2.62,2.56,2.71,2.03,1.4,1.25,0.95,0.9,0.93,0.76,0.95,0.78,0.72,0.75
a_0,2.51,2.24,2.7,2.69,3.81,3.29,1.29,1.41,1.03,0.85,0.63,1.02,0.88,0.58,0.85,0.67
e_0,3.12,2.93,3.44,2.83,3.0,2.41,1.43,1.12,1.0,0.93,1.05,0.53,0.79,0.83,0.56,0.68
g_0,2.93,2.98,2.54,3.03,2.66,2.31,1.04,1.54,1.13,1.07,1.12,1.15,0.66,0.96,0.93,1.01
