,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,3.77,0.43,0.48,0.37,0.34,0.3,0.66,1.5,0.67,0.74,0.97,1.01,0.86,0.89,0.24,0.79
f_1,0.69,3.93,0.34,0.42,0.38,0.33,0.66,0.78,0.74,0.72,0.79,0.26,0.83,0.78,0.55,0.94
c_1,0.35,0.47,4.15,0.34,0.8,0.31,0.77,0.76,0.66,0.14,0.52,0.76,0.83,0.75,0.85,0.86
d_1,0.36,0.38,0.23,4.29,0.43,0.37,0.75,0.19,1.0,1.79,0.91,0.93,0.97,1.01,0.81,0.87
b_1,0.34,0.33,0.43,0.39,4.9,0.86,0.77,0.77,0.68,0.71,0.19,0.8,0.97,0.68,0.84,0.85
a_1,0.39,0.42,0.52,0.35,0.35,6.92,0.84,0.82,0.58,0.72,1.01,0.79,0.87,0.11,0.99,0.92
h_1,0.53,1.03,0.81,0.72,0.56,0.63,5.43,0.95,1.63,1.18,1.29,1.05,0.72,1.39,1.68,1.97
d_0,0.72,0.69,1.36,0.21,0.63,0.81,1.68,3.84,1.04,1.08,1.45,1.47,1.4,1.06,1.42,0.94
g_1,0.68,0.64,0.61,1.19,0.53,0.56,0.99,1.15,6.64,1.37,1.46,2.17,1.23,1.39,1.64,0.75
c_0,0.94,0.76,0.27,0.79,0.45,0.82,1.31,1.43,1.14,3.99,2.74,1.29,1.5,1.53,1.25,1.5
b_0,0.9,0.63,0.85,0.81,0.22,0.42,1.59,1.38,1.14,1.45,4.4,1.78,1.57,2.51,1.87,1.7
f_0,0.65,0.36,0.66,0.79,0.76,0.76,1.67,1.53,1.66,1.73,1.56,4.88,1.54,1.6,3.27,1.66
h_0,0.56,1.15,0.72,0.7,0.53,0.56,0.66,1.16,1.79,1.4,1.5,1.53,0.87,1.48,1.56,2.07
a_0,0.8,0.63,0.76,0.96,0.62,,1.01,1.62,1.19,1.53,1.44,1.12,1.69,5.75,2.14,1.43
e_0,0.27,0.89,0.88,0.61,0.58,0.86,1.93,1.61,1.14,1.67,1.5,1.44,1.91,1.54,6.12,1.73
g_0,0.54,0.69,0.9,1.08,0.5,0.62,1.05,1.29,0.71,1.14,1.72,2.06,2.16,1.62,1.65,0.84
