,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.4,1.0,0.91,0.82,0.9,0.82,0.4,0.33,0.47,0.4,0.65,0.39,0.29,0.35,0.38,0.25
f_1,0.78,0.4,0.95,0.98,0.78,0.89,0.39,0.54,0.37,0.36,0.44,0.41,0.29,0.37,0.36,0.37
e_1,0.99,0.57,0.4,0.98,0.94,0.77,0.57,0.54,0.43,0.4,0.47,0.49,0.38,0.47,0.82,0.41
c_1,1.06,0.92,0.7,0.38,1.14,0.79,0.45,0.49,0.52,0.35,0.23,0.38,0.33,0.4,0.33,0.35
b_1,0.86,1.0,0.84,0.51,0.36,1.48,0.5,0.49,0.45,0.58,0.41,0.34,0.35,0.41,0.39,0.31
a_1,0.92,0.83,1.01,1.08,0.47,0.32,0.61,0.53,0.4,0.54,0.53,0.44,0.45,0.84,0.48,0.36
h_1,0.84,0.83,0.74,0.83,0.76,0.65,0.25,0.45,0.35,0.33,0.31,0.37,0.32,0.33,0.37,0.29
g_1,0.81,0.88,0.83,0.74,0.86,0.75,0.32,0.23,0.35,0.32,0.33,0.4,0.25,0.35,0.31,0.34
c_0,0.47,0.96,0.87,1.29,0.75,0.81,0.47,0.4,0.26,0.44,0.42,0.42,0.33,0.44,0.39,0.31
b_0,0.69,0.82,0.81,1.04,1.1,0.6,0.43,0.48,0.21,0.25,0.38,0.35,0.3,0.34,0.33,0.29
d_0,1.12,0.77,0.48,0.92,0.97,0.67,0.54,0.52,0.33,0.35,0.25,0.37,0.32,0.35,0.43,0.33
f_0,0.7,1.53,0.76,0.74,0.78,0.87,0.44,0.29,0.31,0.34,0.33,0.23,0.29,0.31,0.44,0.21
h_0,0.76,0.93,0.73,0.83,0.78,0.57,0.6,0.41,0.31,0.33,0.33,0.32,0.38,0.3,0.33,0.34
a_0,0.78,0.81,0.74,0.8,0.84,0.87,0.44,0.46,0.3,0.24,0.33,0.43,0.32,0.21,0.31,0.37
e_0,0.66,0.97,1.15,0.92,0.79,0.65,0.39,0.41,0.34,0.34,0.31,0.19,0.27,0.37,0.21,0.28
g_0,0.75,0.86,0.81,0.87,0.73,0.76,0.32,0.62,0.35,0.4,0.33,0.37,0.25,0.27,0.34,0.35
