,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,5.84,1.55,1.24,2.06,1.52,1.19,5.5,5.61,6.65,13.86,8.55,8.16,11.21,4.25,11.94,8.49
f_1,2.65,5.9,1.41,1.38,1.22,1.38,4.85,5.26,6.9,7.08,3.44,7.09,10.33,5.68,8.68,6.62
d_1,1.37,1.71,6.42,1.28,1.4,1.55,5.5,5.35,13.95,3.39,7.18,8.55,12.21,7.81,10.87,7.0
c_1,1.29,1.64,1.36,6.79,2.92,1.53,5.54,4.75,2.77,6.84,6.66,5.25,11.3,6.88,10.77,7.2
b_1,1.4,1.41,1.43,1.45,8.02,2.99,6.07,5.64,6.62,6.5,7.62,2.71,9.48,9.6,10.1,7.07
a_1,1.5,1.54,1.92,1.52,1.48,10.14,6.05,5.87,7.44,6.44,7.11,6.29,12.15,7.02,10.63,2.9
h_1,1.61,2.72,1.88,1.98,1.58,1.77,16.64,9.6,8.55,9.25,7.65,8.56,8.21,10.59,15.16,8.16
g_1,1.8,1.58,2.77,1.68,1.31,2.1,6.86,20.17,9.01,7.19,12.44,9.06,10.14,9.64,9.41,9.62
c_0,1.96,1.89,2.51,1.12,1.4,1.96,6.26,7.85,16.36,9.09,10.64,17.64,12.62,10.96,13.27,12.2
d_0,1.85,2.04,0.98,3.84,2.03,1.73,5.33,6.58,5.68,15.45,9.08,7.46,13.04,7.98,13.37,9.05
f_0,1.63,1.35,2.02,2.35,2.06,1.69,7.3,6.0,8.76,10.19,19.13,10.19,12.38,20.32,15.04,9.85
b_0,1.75,1.92,2.45,1.95,1.15,1.28,7.38,7.84,9.38,9.12,9.81,20.05,14.57,11.29,14.11,24.34
h_0,1.74,2.3,2.21,1.93,1.63,1.94,4.27,9.23,8.13,9.15,7.93,9.06,8.59,7.45,17.94,9.88
e_0,0.85,2.25,2.1,2.37,1.8,2.08,7.31,7.58,9.23,7.69,9.89,10.06,14.91,25.23,13.06,8.55
g_0,1.55,1.52,3.16,1.94,1.64,1.74,7.26,4.7,8.74,7.82,14.92,8.73,12.11,12.53,10.99,9.33
a_0,1.6,2.21,2.44,2.11,1.97,0.96,8.16,7.06,6.73,8.94,9.73,9.05,14.43,8.55,13.71,27.66
