,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.96,0.59,0.57,0.71,0.57,0.39,0.41,0.36,0.57,0.35,0.38,0.36,0.37,0.25,0.36,0.27
f_1,0.9,0.96,0.56,0.58,0.47,0.39,0.37,0.35,0.41,0.38,0.28,0.35,0.33,0.21,0.28,0.25
d_1,0.68,0.71,0.96,0.58,0.48,0.42,0.42,0.33,0.35,0.58,0.37,0.42,0.38,0.29,0.3,0.26
c_1,0.59,0.69,0.61,0.96,0.82,0.49,0.43,0.35,0.34,0.28,0.35,0.27,0.37,0.26,0.31,0.25
b_1,0.64,0.71,0.7,0.53,0.95,0.77,0.5,0.41,0.39,0.44,0.38,0.28,0.38,0.34,0.33,0.22
a_1,0.79,0.82,0.79,0.63,0.5,0.95,0.51,0.46,0.44,0.47,0.4,0.41,0.45,0.3,0.37,0.23
h_1,1.01,1.19,0.94,0.87,0.65,0.61,0.81,0.65,0.56,0.55,0.49,0.49,0.49,0.43,0.5,0.37
g_1,1.03,0.97,1.25,0.9,0.65,0.68,0.62,0.79,0.6,0.62,0.75,0.56,0.47,0.46,0.46,0.41
d_0,0.92,1.06,0.82,1.43,0.98,0.65,0.65,0.53,0.73,0.42,0.56,0.48,0.55,0.43,0.5,0.44
c_0,1.07,1.07,0.98,0.97,0.69,0.66,0.68,0.6,0.73,0.76,0.61,0.87,0.58,0.47,0.47,0.56
f_0,0.94,1.07,1.02,1.13,0.92,0.69,0.72,0.5,0.66,0.61,0.74,0.63,0.61,0.75,0.5,0.42
b_0,1.05,1.12,1.06,1.15,0.86,0.61,0.7,0.63,0.69,0.57,0.62,0.77,0.64,0.52,0.48,0.77
h_0,1.12,1.29,1.15,1.09,0.87,0.72,0.64,0.75,0.69,0.65,0.61,0.58,0.58,0.45,0.66,0.44
e_0,0.94,1.5,1.14,1.11,0.9,0.88,0.82,0.68,0.6,0.72,0.55,0.63,0.65,0.71,0.51,0.44
g_0,1.05,1.13,1.43,1.1,0.97,0.78,0.8,0.54,0.63,0.75,0.86,0.63,0.6,0.6,0.53,0.5
a_0,1.15,1.23,1.26,1.22,1.1,0.72,0.8,0.65,0.73,0.59,0.67,0.54,0.69,0.54,0.57,0.69
