,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.14,11.53,7.13,10.53,11.69,12.44,3.34,3.87,2.47,2.0,2.57,2.52,2.24,2.6,10.21,1.8
d_1,14.23,1.14,13.63,12.39,10.87,9.66,4.26,1.94,12.92,2.11,2.28,1.97,1.26,3.1,1.95,1.21
f_1,12.25,11.65,1.14,9.78,11.64,16.1,2.24,3.79,2.02,2.1,2.12,8.95,1.18,2.63,2.04,2.0
c_1,11.53,14.77,11.71,1.14,13.96,12.44,3.7,3.23,1.51,10.77,2.32,2.94,1.78,1.92,2.71,1.52
b_1,12.3,13.76,13.58,7.57,1.15,15.6,4.98,4.51,3.17,3.48,11.98,3.29,2.04,2.33,3.21,2.55
a_1,20.52,23.37,20.41,29.7,9.82,1.15,4.38,7.98,4.83,4.67,4.68,3.62,4.22,14.88,5.51,3.08
h_1,28.93,23.69,35.13,30.27,24.54,28.97,1.91,7.66,6.17,6.19,6.85,5.57,10.55,5.03,4.69,4.24
g_1,35.29,27.97,34.08,28.36,26.77,25.35,6.83,1.92,5.95,5.81,5.93,6.58,3.75,4.9,5.88,13.08
d_0,16.57,87.49,39.17,33.85,39.8,32.19,9.6,12.77,2.64,8.35,7.08,6.5,4.72,6.45,5.88,5.23
c_0,34.6,17.5,32.77,125.92,37.28,32.71,9.6,11.26,9.08,2.74,6.49,7.28,5.42,8.06,5.78,4.08
b_0,32.98,28.92,35.5,49.97,173.24,30.27,9.06,10.21,6.93,3.21,2.52,6.28,5.65,5.09,5.88,4.83
f_0,37.95,38.77,103.27,58.3,50.78,28.17,10.75,6.96,8.73,8.25,8.09,2.6,5.35,6.14,6.67,3.34
h_0,55.14,62.04,53.25,53.36,58.9,46.09,36.64,15.96,10.03,11.32,12.22,9.25,19.1,10.46,7.89,7.3
a_0,56.02,54.16,48.0,49.19,79.59,156.0,18.74,16.65,11.2,9.82,6.29,10.71,10.55,3.05,8.26,8.26
e_0,176.45,55.93,65.54,66.98,73.62,67.6,18.32,14.45,12.0,11.72,13.54,5.46,7.71,11.06,2.89,11.21
g_0,65.35,69.63,68.16,87.44,79.59,50.7,15.8,,19.2,15.9,16.39,13.0,7.29,12.48,11.57,20.93
