,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.4,0.98,1.14,1.39,1.22,1.08,2.08,2.38,2.28,3.72,2.37,2.61,3.16,2.61,1.66,3.54
f_1,1.77,2.44,0.97,1.12,1.13,1.03,1.94,1.98,2.1,2.27,2.37,1.28,2.58,2.22,1.7,2.7
d_1,1.01,1.28,2.56,1.03,0.95,1.25,2.27,2.1,3.92,1.72,2.64,2.57,3.17,3.0,2.61,3.25
c_1,0.92,1.17,1.11,2.65,1.84,1.04,2.13,2.37,1.18,2.22,2.14,2.31,2.99,1.96,2.86,2.81
b_1,1.1,1.2,1.13,0.92,2.74,1.87,2.08,2.02,2.8,2.7,1.55,2.4,3.18,2.11,2.85,2.69
a_1,1.22,1.1,1.24,1.22,0.8,3.24,2.85,2.03,2.51,2.52,3.2,2.73,3.52,2.01,2.9,2.75
h_1,1.32,1.51,1.35,1.2,1.02,1.09,4.09,2.93,2.86,2.33,2.42,3.03,2.46,2.69,2.41,4.74
g_1,1.15,1.05,1.8,1.11,1.24,1.15,2.17,4.28,2.63,2.53,2.85,4.45,2.94,2.45,2.92,2.03
c_0,1.22,1.49,1.25,1.07,1.11,1.11,2.39,2.22,3.92,2.82,4.18,2.97,3.51,3.14,3.29,3.63
d_0,1.08,1.45,0.77,2.1,1.26,1.18,2.59,2.31,1.98,3.9,2.56,2.69,3.65,2.21,2.87,2.85
b_0,1.27,1.28,1.43,1.37,1.01,0.89,2.57,2.42,2.47,2.82,4.19,2.98,3.21,4.76,2.51,3.45
f_0,1.07,1.18,1.35,1.51,1.24,1.15,2.38,2.06,2.71,2.73,2.86,4.27,3.86,2.86,5.32,3.22
h_0,1.22,1.75,1.43,1.21,1.04,0.88,1.81,3.1,2.23,2.69,3.11,2.32,2.78,3.3,3.0,3.88
a_0,1.27,1.32,1.25,1.33,1.15,0.86,2.93,2.59,2.92,3.26,2.36,2.83,3.38,4.75,3.3,3.93
e_0,0.79,1.71,1.36,1.4,1.16,1.15,3.02,2.4,2.6,2.8,2.73,2.06,3.82,2.14,4.93,3.47
g_0,1.04,1.06,1.92,1.24,1.13,1.27,1.92,2.38,2.67,2.5,3.21,3.66,3.35,2.85,2.81,2.79
