,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.17,0.71,0.66,0.85,0.76,0.63,0.17,0.15,0.18,0.31,0.18,0.36,0.14,0.09,0.15,0.14
e_1,0.4,0.16,0.93,0.85,0.87,1.12,0.22,0.17,0.17,0.28,0.17,0.2,0.17,0.11,0.47,0.13
d_1,0.94,0.9,0.15,0.85,0.67,0.68,0.23,0.12,0.41,0.13,0.14,0.16,0.13,0.11,0.17,0.07
c_1,0.86,0.67,1.03,0.15,0.79,0.69,0.21,0.32,0.08,0.2,0.15,0.14,0.16,0.11,0.15,0.09
b_1,0.78,0.85,0.79,0.4,0.14,0.91,0.31,0.21,0.16,0.26,0.49,0.14,0.16,0.14,0.13,0.15
a_1,0.97,0.8,0.85,0.99,0.4,0.1,0.25,0.17,0.19,0.23,0.16,0.15,0.32,0.1,0.18,0.11
h_1,0.64,0.59,0.56,0.67,0.8,0.54,0.06,0.13,0.15,0.18,0.12,0.12,0.11,0.18,0.11,0.08
c_0,0.6,0.69,0.3,1.38,0.73,0.67,0.18,0.07,0.19,0.19,0.15,0.14,0.14,0.08,0.11,0.08
d_0,0.68,0.31,1.62,0.66,0.68,0.68,0.16,0.16,0.07,0.2,0.14,0.14,0.12,0.08,0.14,0.11
g_1,0.62,0.58,0.68,0.66,0.66,0.57,0.15,0.11,0.15,0.05,0.13,0.13,0.13,0.07,0.12,0.16
b_0,0.56,0.54,0.47,0.94,1.36,0.61,0.15,0.07,0.16,0.19,0.06,0.14,0.14,0.09,0.11,0.09
f_0,1.28,0.57,0.56,0.51,0.78,0.64,0.16,0.14,0.14,0.1,0.12,0.05,0.16,0.09,0.12,0.05
a_0,0.67,0.58,0.44,0.65,0.85,1.37,0.16,0.1,0.17,0.14,0.06,0.14,0.05,0.09,0.13,0.11
h_0,0.73,0.53,0.54,0.8,0.54,0.54,0.3,0.12,0.14,0.15,0.13,0.12,0.11,0.15,0.1,0.09
e_0,1.06,1.3,0.5,0.6,0.51,0.48,0.16,0.12,0.14,0.15,0.13,0.06,0.14,0.07,0.04,0.08
g_0,0.77,0.6,0.5,0.85,0.52,0.52,0.13,0.11,0.15,0.24,0.11,0.11,0.12,0.07,0.1,0.16
