,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.06,2.06,2.18,2.13,2.02,1.8,0.63,0.85,0.56,0.62,0.52,0.75,0.38,0.48,0.54,0.45
d_1,2.36,1.06,2.66,2.34,1.97,1.7,0.82,0.59,0.73,1.18,0.76,0.55,0.53,0.67,0.54,0.31
e_1,1.58,2.3,1.06,2.62,2.27,2.02,0.96,0.95,0.76,0.81,0.66,0.79,0.65,0.61,1.18,0.81
c_1,2.6,2.71,2.23,1.06,2.91,2.08,0.83,0.88,1.07,0.45,0.7,0.64,0.61,0.65,0.57,0.61
b_1,3.0,3.04,2.8,1.59,1.07,3.25,1.3,1.0,1.05,0.94,1.01,0.88,0.61,0.8,0.74,0.64
a_1,4.05,3.8,3.83,3.48,2.01,1.07,1.72,1.63,1.04,1.06,1.16,1.16,0.96,2.18,1.02,0.9
h_1,7.42,6.03,5.98,7.04,4.94,5.07,1.33,2.24,1.75,1.74,1.5,1.44,1.69,1.36,1.34,1.29
g_1,7.85,7.25,6.23,7.24,7.3,4.97,2.01,1.33,1.98,2.09,1.71,1.94,1.3,2.27,1.64,1.93
c_0,7.97,4.49,6.67,12.13,6.54,6.72,3.06,2.93,1.51,3.08,2.6,2.03,1.85,1.99,2.09,1.42
d_0,7.84,11.15,4.53,8.49,6.34,7.0,3.14,3.5,2.36,1.54,2.24,2.53,1.79,1.79,1.96,1.92
b_0,9.14,6.59,7.15,9.89,13.49,6.21,3.5,3.37,1.5,2.53,1.56,2.03,1.96,2.64,2.01,1.77
f_0,13.82,9.21,7.94,7.84,8.14,6.4,3.3,2.28,2.52,2.54,2.66,1.56,2.35,2.5,2.35,1.3
h_0,10.39,9.44,8.51,8.89,8.75,6.38,3.92,3.76,2.51,2.77,2.66,2.25,2.64,2.07,2.49,2.14
a_0,11.21,9.83,9.88,9.82,9.62,11.46,4.31,3.36,2.65,3.38,1.91,2.78,2.62,1.59,3.34,2.22
e_0,14.18,10.32,11.66,10.59,10.78,8.13,3.93,3.83,3.27,3.24,3.16,1.76,2.69,2.46,1.58,1.99
g_0,12.88,13.53,9.28,9.51,9.56,10.1,3.42,5.01,3.23,3.34,3.35,3.45,2.13,2.98,2.9,3.11
