,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.43,0.87,1.31,1.57,1.23,1.42,0.77,0.71,0.77,0.59,0.48,0.53,0.49,1.82,0.6,0.61
f_1,1.48,0.42,1.28,1.35,1.42,1.09,0.51,0.55,0.75,0.49,0.54,0.83,0.38,0.45,0.51,0.51
d_1,1.49,1.4,0.39,1.16,1.32,1.13,0.67,1.41,0.47,0.57,0.56,0.62,0.45,0.63,0.54,0.32
c_1,1.08,1.27,1.57,0.39,1.6,1.4,0.67,0.32,0.72,0.94,0.67,0.7,0.52,0.49,0.55,0.42
b_1,1.29,1.23,1.31,0.82,0.37,1.89,0.64,0.6,0.71,0.63,1.58,0.63,0.7,0.56,0.8,0.47
a_1,1.3,1.42,1.55,1.14,0.71,0.3,0.76,0.75,0.68,0.78,0.77,0.52,0.59,0.75,,0.82
h_1,0.94,1.1,0.91,0.94,0.98,0.86,0.25,0.5,0.67,0.39,0.42,0.36,0.51,0.35,0.4,0.37
d_0,0.56,1.12,1.33,1.45,0.99,0.86,0.51,0.28,0.6,0.52,0.46,0.44,0.32,0.37,0.46,0.36
g_1,0.91,1.08,1.03,0.95,0.92,1.06,0.41,0.43,0.23,0.42,0.44,0.41,0.29,0.46,0.37,0.51
c_0,1.12,1.12,0.59,2.29,1.27,0.67,0.61,0.46,0.52,0.26,0.51,0.42,0.36,0.42,0.46,0.37
b_0,0.96,0.93,0.79,1.03,1.88,0.8,0.52,0.46,0.59,0.28,0.25,0.39,0.37,0.43,0.44,0.45
f_0,0.96,2.11,0.79,0.92,0.85,1.01,0.65,0.38,0.38,0.47,0.46,0.24,0.4,0.44,0.48,0.3
h_0,0.91,1.08,0.93,0.97,0.77,0.93,1.08,0.48,0.57,0.42,0.46,0.43,0.52,0.46,0.36,0.45
e_0,1.07,1.19,0.82,1.36,0.96,0.81,0.65,0.47,0.43,0.42,0.36,0.25,0.34,0.2,0.34,0.34
a_0,0.82,0.97,0.97,1.03,1.08,,0.62,0.43,0.44,0.39,0.24,0.49,0.41,0.49,0.2,0.46
g_0,0.84,1.09,1.11,0.93,0.92,0.74,0.51,0.47,,0.39,0.44,0.43,0.27,0.4,0.41,0.58
