,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.31,1.78,1.08,1.02,0.76,0.73,1.82,1.69,2.35,2.03,1.94,1.36,2.56,1.77,2.22,1.26
e_1,1.19,2.37,1.32,0.95,1.02,0.8,1.89,1.67,3.58,2.08,1.98,1.76,2.93,1.81,2.47,1.26
c_1,1.12,0.96,2.43,0.9,1.73,0.85,1.94,1.72,1.99,1.32,1.32,1.96,2.58,1.67,2.35,1.62
d_1,1.21,1.11,0.83,2.51,0.85,0.81,2.0,2.04,1.58,3.75,2.62,2.26,3.06,1.96,2.69,1.88
b_1,1.23,0.92,1.16,0.96,2.69,1.5,1.98,1.7,2.02,1.85,1.44,1.87,2.8,1.29,2.53,1.41
a_1,1.3,1.02,1.08,0.98,0.97,3.19,2.02,1.69,2.17,1.95,1.86,1.73,3.07,1.37,2.6,1.24
h_1,1.55,1.12,0.99,1.25,0.9,0.79,3.52,2.03,2.12,2.08,2.35,1.75,2.61,1.83,3.18,1.62
g_1,1.08,1.08,1.04,1.6,0.93,0.83,2.11,3.7,2.21,2.37,2.48,3.0,3.23,2.26,2.44,2.26
d_0,1.13,1.02,1.91,0.84,1.19,0.68,2.04,2.09,3.28,1.52,1.89,2.26,2.91,1.92,2.37,1.95
c_0,1.24,1.2,1.02,1.29,0.73,0.9,1.95,2.04,2.5,3.42,4.11,2.36,3.62,2.76,3.23,2.27
b_0,1.3,1.21,1.09,1.38,0.65,0.85,2.14,2.14,2.15,2.49,3.66,2.23,3.24,3.9,3.1,2.23
f_0,1.12,0.91,1.14,1.34,1.0,0.74,2.21,2.27,2.44,2.72,2.65,3.81,3.73,2.35,3.04,4.01
h_0,1.43,1.11,1.16,1.26,1.01,0.76,1.72,2.54,2.16,2.3,2.3,2.11,2.31,2.0,3.06,1.85
a_0,1.3,1.22,1.21,1.28,0.88,0.53,2.2,2.18,2.03,2.0,2.34,2.44,3.14,3.88,2.72,2.3
g_0,1.19,1.01,1.05,1.64,0.95,0.78,2.03,1.79,1.69,2.24,2.49,3.17,3.08,2.12,2.18,2.36
e_0,1.15,0.86,1.18,1.22,1.22,0.87,2.18,2.2,2.34,2.14,2.87,2.36,3.51,2.11,2.76,4.24
