,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.5,1.22,0.62,0.55,0.6,0.49,0.82,0.76,0.78,0.87,0.82,0.51,0.98,0.99,0.79,0.56
e_1,0.72,2.59,0.59,0.85,0.63,0.66,0.87,0.77,0.91,1.7,0.86,0.93,0.98,0.97,0.98,0.49
d_1,0.79,0.57,2.66,0.54,0.59,0.67,0.96,1.09,1.72,0.53,1.09,0.91,1.0,0.96,1.01,1.0
c_1,0.64,0.56,0.67,2.98,1.17,0.5,0.77,0.72,0.33,0.81,0.67,1.0,0.71,0.72,0.92,0.95
b_1,0.58,0.66,0.67,0.66,3.12,1.17,1.01,0.83,0.93,0.83,0.54,0.87,1.06,0.65,0.87,0.87
a_1,0.79,0.6,0.71,0.67,0.59,4.34,0.9,0.89,0.81,0.99,1.21,1.09,1.14,0.57,0.96,1.23
h_1,1.04,0.64,0.95,0.81,0.65,0.72,2.71,1.42,1.18,1.03,1.3,1.03,0.84,1.13,1.74,1.31
g_1,0.56,0.73,1.27,0.79,0.72,0.68,1.05,3.19,1.16,0.84,1.28,1.72,1.08,1.15,0.82,1.23
c_0,0.81,0.75,0.89,0.48,0.64,0.97,1.21,1.28,2.09,1.14,2.36,1.57,1.29,1.48,1.39,1.35
d_0,0.71,0.79,0.48,1.69,0.82,0.67,1.01,1.26,0.79,1.97,1.14,1.15,0.98,1.06,1.04,1.42
b_0,0.85,0.72,0.85,0.81,0.52,0.69,1.25,1.46,1.15,1.1,2.47,1.32,1.31,2.75,1.36,1.53
f_0,0.49,0.55,0.84,0.88,0.8,0.99,1.43,1.19,1.21,1.15,1.4,2.5,1.26,1.41,1.39,3.0
h_0,1.09,0.73,0.9,0.75,0.74,0.77,0.79,1.44,1.09,0.99,1.14,1.22,0.69,1.49,1.58,0.86
a_0,0.83,0.78,1.03,0.77,0.79,0.45,1.3,1.29,1.14,0.99,1.39,1.27,1.42,3.25,1.39,1.3
g_0,0.72,0.68,1.27,0.75,0.69,0.86,1.29,0.88,1.17,1.01,1.19,1.71,1.09,1.25,0.72,1.71
e_0,0.86,0.35,0.97,1.0,0.79,0.74,1.29,1.31,1.11,1.11,1.14,1.38,1.37,1.31,1.12,3.57
