,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,8979.52,268.84,140.64,306.3,420.22,2077.78,194289.76,408344.5,685144.83,928449.8,1403002.8,,7642566.57,4549146.77,5686237.82,12596326.36
e_1,137.11,12228.18,180.39,279.25,381.24,1406.38,131907.54,524195.24,910937.78,1387258.71,1377503.6,1693938.42,5999954.36,4838672.87,,7917004.43
d_1,131.01,145.93,13544.44,380.05,335.45,2460.83,166052.85,504469.84,1115748.22,,1093564.79,1282803.11,7309441.93,4148602.18,6899573.66,20512931.01
c_1,136.74,149.84,100.6,23882.72,841.65,2182.11,196047.9,410946.69,,564513.02,1268637.25,1686742.97,7965957.3,3761702.06,8541633.38,20887574.48
b_1,114.9,156.42,195.65,246.38,40468.65,3445.93,268138.06,456672.78,668680.11,836435.28,,1943850.3,6147451.65,3196674.86,6780044.28,12379593.34
a_1,100.2,143.98,201.49,296.03,476.6,309180.67,184576.05,400089.69,695269.22,1031899.93,,,7016881.67,,,19754714.45
h_1,628.18,597.03,607.79,1103.08,1655.76,8979.16,7806728.03,1825515.49,2631875.96,3056994.57,4508452.3,4662238.2,,21231919.38,27464092.41,86601381.46
g_1,333.19,618.54,1027.88,604.07,1160.22,8865.78,593493.94,26591675.62,3152768.08,2929619.8,3377020.79,7943072.48,31148885.84,16076844.31,44328008.8,
c_0,579.08,941.64,800.59,,1739.69,12739.91,775823.9,1734239.71,24891201.9,4148778.35,12870187.73,8135129.91,32016386.37,20277044.7,31387534.18,80592306.02
d_0,812.15,744.62,,2600.28,2016.65,10844.21,799408.95,1872053.96,3680415.34,27519676.53,6087219.02,8071977.2,31890028.36,26391747.61,22234929.21,96882697.47
b_0,657.72,646.69,936.87,1068.78,,,963793.58,2063551.55,3803339.27,5153960.76,46250364.97,5817715.22,41212862.78,41212862.78,33421911.4,99165018.51
f_0,,747.87,946.89,1199.89,2740.78,,650560.67,2014520.88,3403556.45,5376518.15,7720194.58,66516784.73,26033526.29,18223468.4,76566560.65,90106675.48
h_0,1263.3,1100.7,1562.37,1813.96,3643.45,12180.6,,4540042.18,5259739.92,6109329.09,5965262.54,12778106.5,,31849797.04,58545406.74,189883335.64
a_0,606.39,1031.91,1066.98,1343.68,1480.15,,837795.2,2464594.33,2629869.96,4480174.67,5302455.59,8992000.87,50289153.22,222948579.29,,58019908.11
e_0,799.05,,688.65,1593.54,1800.4,,817233.24,2051148.53,4356552.25,2760137.66,4866062.04,9621714.72,53013726.26,,435037276.45,77447059.91
g_0,730.86,951.72,2204.57,1689.9,2863.91,14224.93,1245244.96,,5733008.95,6402926.71,5835140.93,26784374.56,37948256.73,31623547.27,50378917.98,
