,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.5,1.05,0.62,0.71,0.57,0.46,0.72,0.66,0.77,0.81,0.68,0.42,0.71,0.52,0.69,0.48
e_1,0.73,1.5,0.63,0.82,0.5,0.49,0.87,0.75,0.82,1.37,0.86,0.84,0.9,0.84,0.76,0.46
d_1,0.84,0.65,1.54,0.59,0.58,0.52,0.86,0.71,1.31,0.53,0.86,0.82,0.93,0.71,0.72,0.64
c_1,0.68,0.63,0.73,1.56,1.1,0.5,0.75,0.73,0.43,0.68,0.65,0.84,0.89,0.7,0.73,0.66
b_1,0.72,0.81,0.79,0.59,1.64,1.03,0.72,0.78,0.68,0.7,0.46,0.68,0.87,0.59,0.85,0.66
a_1,0.74,0.85,0.95,0.67,0.54,1.78,0.92,0.69,0.8,0.75,1.03,0.86,1.09,0.59,1.01,0.79
h_1,1.1,0.9,0.89,0.88,0.85,0.67,1.71,1.27,0.96,1.09,1.01,1.0,0.92,0.77,1.3,0.94
g_1,1.05,0.8,1.28,0.93,0.82,0.72,0.92,1.81,1.05,0.86,1.08,1.21,1.04,0.94,0.75,1.06
c_0,1.05,0.97,0.89,0.78,0.8,0.81,1.29,1.04,1.61,0.9,1.82,1.17,1.2,0.96,1.31,1.02
d_0,0.96,0.8,0.65,1.69,0.87,0.82,1.1,0.99,1.01,1.6,1.01,1.16,1.06,0.78,1.13,0.98
b_0,1.09,0.95,0.9,1.09,0.69,0.53,1.18,1.03,0.9,1.15,1.69,1.1,1.32,1.87,1.27,0.99
f_0,0.91,0.78,1.07,0.98,1.05,0.89,1.18,1.07,1.18,1.1,1.2,1.66,1.27,1.04,0.99,1.75
h_0,1.4,0.92,0.93,1.02,0.77,0.74,0.95,1.22,1.17,1.16,1.14,1.04,0.88,1.04,1.55,0.85
a_0,1.31,0.8,1.14,0.97,1.08,0.53,1.35,1.09,1.13,1.39,0.8,1.25,1.28,1.77,1.29,1.24
g_0,0.91,0.98,1.52,1.01,0.78,0.81,1.08,0.91,1.17,1.08,1.27,1.61,1.18,0.94,0.87,0.9
e_0,1.27,0.78,1.0,1.1,1.01,0.86,1.14,1.02,1.12,1.24,1.27,0.95,1.51,1.03,1.43,1.82
