,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.0,0.79,1.11,0.85,0.93,0.74,0.5,0.58,0.47,0.4,0.44,0.37,0.37,0.34,0.33,0.34
f_1,1.29,1.0,0.99,0.83,0.84,0.77,0.44,0.47,0.43,0.4,0.37,0.36,0.29,0.3,0.32,0.26
c_1,0.89,1.04,1.0,1.11,1.26,0.79,0.52,0.35,0.42,0.38,0.38,0.34,0.39,0.33,0.37,0.29
d_1,1.12,1.2,0.9,1.0,0.89,0.7,0.51,0.47,0.39,0.56,0.41,0.47,0.36,0.36,0.31,0.3
b_1,1.08,1.15,0.81,1.13,1.0,1.18,0.58,0.48,0.52,0.52,0.45,0.46,0.39,0.37,0.32,0.35
a_1,1.36,1.33,1.23,1.39,0.88,1.0,0.71,0.62,0.65,0.6,0.63,0.64,0.5,0.4,0.43,0.51
h_1,1.95,2.25,1.9,1.98,1.72,1.39,1.0,0.84,0.99,0.78,0.75,0.7,0.71,0.59,0.65,0.55
d_0,1.7,2.02,2.94,2.13,2.19,1.58,1.19,1.0,0.98,0.71,0.84,0.73,0.86,0.71,0.7,0.69
g_1,2.14,2.26,2.3,2.55,1.97,1.46,1.0,1.05,1.0,0.99,1.01,0.86,0.7,0.66,0.73,0.67
c_0,2.55,2.49,2.63,1.87,1.89,1.63,1.27,1.4,1.02,1.0,0.95,1.17,0.82,0.9,0.71,0.75
f_0,2.33,2.72,2.58,2.44,2.24,1.54,1.31,1.12,0.93,1.02,1.0,1.02,0.97,0.8,0.69,1.11
b_0,2.57,2.77,3.04,2.16,2.23,1.73,1.41,1.3,1.16,0.86,0.93,1.0,0.88,1.14,0.74,0.83
h_0,2.87,3.35,2.53,2.86,2.53,1.97,1.44,1.24,1.44,1.21,1.03,1.14,1.0,0.95,1.0,0.87
a_0,2.98,3.19,3.07,2.74,2.67,2.54,1.75,1.41,1.47,1.13,1.17,0.9,1.05,1.0,0.92,0.93
g_0,2.98,3.11,2.75,3.27,2.98,2.26,1.59,1.37,1.38,1.41,1.41,1.26,0.93,1.03,1.0,0.98
e_0,3.17,3.51,3.62,3.37,2.78,2.04,1.7,1.46,1.48,1.39,0.92,1.2,1.16,1.04,1.0,1.01
