,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.0,1.22,1.11,1.13,1.17,0.9,0.81,1.05,1.11,0.91,1.07,,0.86,0.76,1.1,0.79
e_1,0.82,1.0,1.08,0.75,1.0,0.96,1.03,0.89,1.45,0.96,1.02,1.11,1.14,1.02,0.86,
d_1,0.9,0.93,1.0,1.01,0.97,0.87,1.06,0.64,,1.44,1.1,1.18,0.93,1.34,0.71,1.22
c_1,0.89,1.33,0.99,1.0,1.38,1.17,0.84,1.02,0.65,,0.96,0.86,1.47,1.03,1.1,0.83
b_1,0.85,1.0,1.04,0.73,1.0,1.61,1.19,0.93,1.04,0.88,,1.0,1.16,1.06,1.07,0.87
a_1,1.11,1.04,1.15,0.85,0.62,1.0,1.37,1.35,0.91,1.17,0.89,0.86,,1.24,0.85,
h_1,1.24,0.97,0.94,1.19,0.84,0.73,1.0,1.05,1.05,0.99,0.92,1.0,0.8,,1.18,0.93
g_1,0.95,1.12,1.57,0.98,1.08,0.74,0.95,1.0,0.76,0.95,0.92,1.12,0.76,0.84,,
d_0,0.9,0.69,,1.54,0.96,1.1,0.95,1.32,1.0,1.07,0.87,1.07,0.98,1.23,0.88,0.92
c_0,1.09,1.04,0.7,,1.14,0.85,1.02,1.05,0.94,1.0,1.64,0.9,1.07,1.13,0.94,
b_0,0.93,0.98,0.91,1.04,,1.12,1.09,1.08,1.14,0.61,1.0,0.97,1.34,1.11,1.25,0.94
f_0,,0.9,0.85,1.17,1.0,1.16,1.0,0.89,0.94,1.11,1.03,1.0,0.82,0.93,0.81,
a_0,1.16,0.88,1.08,0.68,0.86,,1.25,1.31,1.02,0.93,0.75,1.22,1.0,1.06,1.22,
h_0,1.32,0.98,0.74,0.97,0.94,0.81,,1.19,0.81,0.88,0.9,1.07,0.94,,1.38,1.13
g_0,0.91,1.17,1.41,0.91,0.93,1.18,0.85,,1.14,1.07,0.8,1.24,0.82,0.73,,1.04
e_0,1.27,,0.82,1.21,1.15,,1.07,,1.08,,1.06,,,0.89,0.96,1.0
