,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,13.59,1.54,0.62,0.62,0.54,0.51,0.8,0.7,0.91,0.81,0.92,0.45,0.97,0.83,0.62,0.76
e_1,0.75,13.08,0.49,0.83,0.62,0.66,0.96,0.92,0.96,2.61,0.94,0.92,0.95,1.01,0.63,0.98
d_1,0.68,0.63,14.31,0.44,0.63,0.64,1.12,2.71,0.92,0.56,1.38,1.38,1.08,1.07,1.21,1.04
c_1,0.56,0.55,0.63,14.69,1.67,0.55,0.74,0.36,0.82,0.74,0.63,1.05,0.87,0.98,0.97,0.93
b_1,0.59,0.5,0.82,0.63,13.96,1.68,1.05,0.73,0.81,0.76,0.6,0.87,0.97,0.65,1.05,1.15
a_1,0.69,0.52,0.74,0.89,0.47,22.84,1.12,1.08,1.02,0.87,1.02,1.0,1.03,0.63,0.9,1.01
h_1,1.16,0.67,0.96,0.63,0.69,0.64,3.7,0.93,1.38,0.95,1.1,1.09,0.74,0.88,0.97,1.65
c_0,0.96,0.74,0.91,0.62,0.52,0.69,1.07,2.88,0.91,0.91,3.4,1.11,1.2,1.48,1.36,0.98
g_1,0.6,0.6,1.58,0.68,0.65,0.8,0.97,1.31,4.74,0.84,0.93,2.13,1.22,1.25,1.27,0.73
d_0,0.9,0.68,0.37,2.53,0.62,0.73,0.73,0.75,0.88,2.12,1.0,0.92,1.05,1.22,0.9,0.92
b_0,0.92,0.76,0.9,0.84,0.49,0.41,0.72,1.2,1.39,1.26,2.93,1.03,1.51,3.31,1.28,1.16
f_0,0.51,0.58,0.87,0.98,0.98,0.78,1.04,1.06,1.12,1.01,1.23,2.75,1.31,1.34,3.32,0.98
h_0,1.2,0.64,0.79,0.84,0.65,0.76,0.7,1.06,1.52,1.04,1.17,0.89,0.75,1.11,1.04,1.64
a_0,1.0,0.7,0.81,0.88,0.84,0.4,1.44,1.14,1.0,1.21,1.07,1.22,1.36,3.48,1.21,1.21
e_0,0.75,0.48,0.76,0.92,1.03,0.68,1.28,1.04,1.23,1.01,1.16,0.98,1.2,1.24,4.13,1.36
g_0,0.65,0.6,1.8,0.83,0.65,0.62,1.03,1.07,0.77,0.78,0.89,2.2,0.86,0.98,1.28,0.81
