,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.96,0.65,0.55,0.42,0.45,0.4,0.39,0.27,0.54,0.29,0.36,0.31,0.32,0.28,0.25,0.23
f_1,0.5,0.95,0.82,0.53,0.42,0.35,0.35,0.39,0.34,0.32,0.31,0.25,0.3,0.23,0.17,0.25
e_1,0.5,0.51,0.95,0.65,0.52,0.37,0.37,0.6,0.35,0.34,0.3,0.32,0.35,0.26,0.21,0.3
c_1,0.65,0.56,0.48,0.95,0.77,0.34,0.37,0.3,0.26,0.3,0.25,0.3,0.33,0.24,0.26,0.26
b_1,0.62,0.62,0.51,0.52,0.95,0.72,0.42,0.4,0.34,0.32,0.31,0.32,0.33,0.21,0.24,0.26
a_1,0.68,0.77,0.64,0.67,0.38,0.94,0.45,0.37,0.38,0.38,0.41,0.36,0.4,0.23,0.27,0.31
h_1,0.85,1.11,0.83,0.78,0.69,0.54,0.78,0.46,0.5,0.57,0.45,0.46,0.4,0.29,0.36,0.49
d_0,0.72,0.81,0.69,1.36,0.85,0.63,0.61,0.71,0.42,0.52,0.51,0.49,0.52,0.38,0.37,0.46
c_0,0.88,1.01,0.87,0.8,0.65,0.55,0.64,0.62,0.72,0.54,0.77,0.52,0.53,0.47,0.39,0.43
g_1,1.24,0.8,0.68,0.88,0.79,0.53,0.52,0.48,0.54,0.78,0.52,0.69,0.47,0.3,0.41,0.37
b_0,1.0,1.07,0.87,0.99,0.6,0.48,0.65,0.55,0.54,0.54,0.72,0.51,0.6,0.68,0.45,0.44
f_0,1.12,0.87,0.81,0.93,0.9,0.54,0.61,0.52,0.64,0.52,0.59,0.72,0.6,0.43,0.76,0.41
h_0,1.09,1.22,0.86,0.97,0.84,0.63,0.59,0.59,0.59,0.75,0.57,0.52,0.49,0.43,0.41,0.58
a_0,1.05,1.11,0.98,1.02,0.92,0.47,0.82,0.67,0.65,0.7,0.57,0.54,0.65,0.67,0.46,0.49
e_0,1.12,1.24,0.89,0.96,1.01,0.59,0.64,0.65,0.68,0.59,0.55,0.53,0.71,0.48,0.66,0.56
g_0,1.54,0.98,0.83,1.05,0.95,0.72,0.64,0.53,0.7,0.53,0.59,0.78,0.55,0.49,0.51,0.45
