,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.82,0.92,1.13,0.96,0.92,0.72,0.94,0.67,0.68,0.6,0.69,0.63,0.56,0.59,0.52
f_1,1.22,1.0,0.94,0.94,0.97,0.75,0.62,0.69,0.63,0.71,0.63,0.56,0.51,0.55,0.62,0.48
d_1,1.08,1.06,1.0,1.0,0.87,0.83,0.66,0.59,0.84,0.53,0.71,0.62,0.56,0.58,0.46,0.51
c_1,0.88,1.07,1.03,1.0,1.27,0.83,0.7,0.53,0.62,0.66,0.56,0.6,0.63,0.53,0.58,0.61
b_1,1.03,1.03,1.15,0.8,1.0,1.28,0.79,0.65,0.7,0.74,0.7,0.62,0.63,0.61,0.59,0.62
a_1,1.08,1.35,1.16,1.2,0.79,1.0,1.03,0.82,0.79,0.91,0.92,0.72,0.78,0.85,0.77,0.68
h_1,1.38,1.62,1.48,1.41,1.29,0.95,1.0,0.97,0.9,1.1,0.89,0.77,0.76,0.76,0.92,0.72
d_0,1.1,1.44,1.66,1.88,1.51,1.21,1.07,1.0,0.81,1.06,0.95,0.9,0.94,0.76,0.94,0.96
c_0,1.46,1.56,1.22,1.63,1.39,1.26,1.13,1.18,1.0,1.06,1.29,1.01,0.84,1.08,0.84,0.89
g_1,1.47,1.43,1.81,1.5,1.37,1.06,0.9,0.93,0.96,1.0,0.9,1.15,0.69,0.76,0.84,0.85
b_0,1.62,1.56,1.34,1.77,1.47,1.13,1.09,1.0,0.77,1.08,1.0,0.94,1.06,1.35,0.85,0.94
f_0,1.54,1.88,1.56,1.61,1.66,1.3,1.35,1.05,1.02,0.87,1.1,1.0,0.94,1.05,0.81,1.33
h_0,1.62,1.97,1.72,1.51,1.65,1.29,1.28,1.09,1.14,1.43,0.97,1.0,1.0,0.93,1.15,0.85
a_0,1.8,1.79,1.72,1.89,1.82,1.2,1.26,1.2,0.95,1.3,0.81,0.92,1.01,1.0,1.06,0.88
g_0,1.73,1.58,2.2,1.7,1.66,1.28,1.08,1.09,1.16,1.18,1.17,1.27,0.89,0.87,1.0,0.9
e_0,1.83,2.16,1.99,1.54,1.61,1.48,1.38,0.95,1.13,1.18,1.19,0.79,1.24,1.1,1.15,1.0
