,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.67,1.43,2.13,2.12,1.97,2.09,0.96,0.92,0.86,0.67,0.9,0.71,0.57,0.73,2.39,0.61
f_1,2.31,0.66,1.96,2.09,1.91,2.11,0.71,1.12,0.72,0.71,1.35,0.62,0.46,0.66,0.58,0.78
d_1,2.29,2.29,0.66,2.24,2.24,1.76,0.9,0.68,1.81,0.77,0.61,0.81,0.57,0.72,0.64,0.4
c_1,2.09,2.07,2.45,0.65,2.83,1.49,0.95,1.09,0.45,1.41,0.74,0.77,0.6,0.59,0.77,0.61
b_1,2.45,2.75,2.36,1.27,0.62,2.65,1.01,1.15,0.83,1.22,0.85,1.58,0.7,0.83,0.67,0.78
a_1,2.31,2.69,3.2,3.57,1.41,0.57,1.62,1.03,1.06,0.95,1.05,1.15,0.88,1.81,1.44,0.79
h_1,2.5,3.1,2.46,2.74,2.88,2.38,0.59,1.46,0.95,0.87,1.07,0.9,1.79,0.89,0.77,0.7
g_1,2.97,2.98,2.74,2.61,2.44,3.07,0.93,0.57,1.48,1.15,1.06,1.04,0.69,1.27,1.03,1.26
d_0,1.88,2.99,5.18,3.74,2.62,2.31,1.55,1.2,0.68,1.01,1.02,1.07,1.15,1.03,1.04,0.89
c_0,3.48,3.14,1.85,5.53,2.66,2.6,1.64,1.27,1.47,0.65,1.23,1.25,0.98,0.97,0.93,1.04
f_0,2.6,6.48,3.66,3.01,2.7,2.6,1.33,0.96,1.36,0.99,0.62,1.36,1.04,0.85,1.44,0.58
b_0,3.19,3.33,2.16,3.91,6.7,3.03,1.35,1.39,1.43,0.68,1.01,0.62,1.2,1.24,0.81,0.97
h_0,3.57,3.45,3.27,3.51,3.13,2.67,2.24,1.78,1.06,1.2,1.18,1.04,1.5,0.92,0.99,0.96
a_0,3.04,4.51,3.31,3.52,3.6,,1.54,1.21,1.43,1.65,1.31,0.8,1.23,0.61,1.58,0.89
e_0,3.92,4.94,3.52,3.24,3.71,2.85,1.6,1.26,1.29,1.26,0.67,1.56,1.22,1.16,0.57,0.91
g_0,3.63,3.37,3.85,4.19,3.5,3.03,1.66,2.1,1.48,1.06,1.55,1.33,0.92,1.7,1.22,1.67
