,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,9607.12,3737.05,6308.28,4302.55,5797.91,25648.14,4972349.1,9174982.68,13289393.45,11130489.58,39479907.69,19770820.56,102548385.89,165588501.81,168375121.38,272137414.16
c_1,2438.37,15031.26,3637.04,10106.18,5504.72,23933.67,4518136.34,11023961.59,4556664.4,10600254.47,17370310.09,37371208.51,77012234.69,154549916.67,170499691.43,284839313.61
e_1,2872.95,4789.86,16791.88,5243.18,4170.06,22860.52,6554554.34,18910487.25,12815923.22,9390396.07,35069154.43,43033766.29,102146637.51,159260511.13,69484508.46,302416246.46
b_1,2584.89,3694.99,3790.56,23426.18,5904.28,50602.5,5414278.88,8478040.58,11835204.35,11165928.13,17776703.59,44432280.58,77559988.57,135289717.59,241470997.83,255669194.33
d_1,2565.91,2217.97,4157.5,4886.35,26817.75,31637.93,5004448.9,5772741.13,25647876.86,11399563.78,42569268.65,61480870.92,124832762.99,171765164.08,223333201.92,314159636.52
a_1,2813.21,3610.81,3892.88,5010.64,7325.04,186020.89,5767261.23,8435631.57,11910836.03,10066661.18,36875432.82,50099393.21,57117314.55,137529177.38,212196640.64,291940233.92
h_1,3960.04,5372.29,4343.06,5813.97,7246.89,29951.54,17151857.42,12195136.47,14137452.44,17872186.9,40929261.1,49839767.28,124971412.97,131530183.31,211521246.24,443999679.66
d_0,3276.01,8349.71,4459.59,7015.07,4231.49,25275.44,6321704.75,22285300.51,10977215.12,10851382.15,27274593.48,56518185.71,120111972.13,208972905.88,289109559.07,362127857.8
c_0,3250.6,3126.99,5023.26,4803.8,8160.72,32191.73,6842135.65,12588940.67,33459363.56,13499497.96,84522095.97,65379087.71,187147830.67,234159847.46,278117303.73,371920162.41
g_1,2768.95,4441.19,4696.44,5020.79,13003.77,26954.59,5152737.98,10243041.65,16912092.64,42077290.29,38401652.34,77646479.44,136268555.83,201902258.06,250223264.5,229762724.08
b_0,3549.1,4658.9,4909.67,3441.8,8082.56,25873.98,6165997.74,14697391.18,18945159.2,13007490.39,88161954.34,55137712.79,299392403.44,220916121.13,252420756.68,429377450.77
f_0,2715.85,5290.97,3885.46,6210.27,7218.46,39161.07,7250874.31,15510480.22,18394191.19,12193386.74,47020249.98,127865111.91,145354944.77,208278723.26,513582308.38,367337346.46
a_0,4032.84,4950.52,5562.24,5647.21,6167.26,20942.37,7507455.26,14324383.14,14957503.04,13004287.37,42867187.99,58891086.64,358764113.06,243388149.78,293940975.26,336341467.6
h_0,4679.95,4872.08,4117.69,6452.4,6769.14,32550.34,3600794.74,14215541.68,15111307.7,17642467.27,44364273.94,51106097.24,141924447.42,119498359.78,278403285.53,418594192.66
e_0,3992.05,4168.2,3066.41,7269.65,8587.27,33091.24,7582839.42,11201777.12,16777601.57,14472353.79,40117229.12,60573114.72,150774538.14,198359390.45,667522670.56,470419446.52
g_0,2629.11,4318.55,3836.6,6328.36,11467.37,34119.38,7227509.32,12081715.02,15529144.14,8743686.8,41827907.55,88838465.57,132236191.73,211440816.12,345864680.47,235158815.74
