,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.33,1.75,0.91,1.02,0.79,0.81,1.74,1.83,1.57,2.33,2.03,1.2,2.53,1.76,2.63,1.34
e_1,1.17,2.4,0.9,1.35,0.97,0.71,1.84,2.01,1.7,3.57,1.95,2.07,2.61,1.88,2.43,1.28
d_1,1.18,0.99,2.42,0.87,1.03,0.72,2.16,3.71,1.79,1.45,2.41,2.05,2.78,1.92,2.57,2.06
c_1,1.02,0.88,1.06,2.48,1.74,0.89,1.85,1.55,1.34,2.03,1.45,2.07,2.69,1.54,2.52,1.76
b_1,1.11,0.99,1.08,1.02,2.69,1.53,2.02,2.03,1.84,1.94,1.53,2.12,2.75,1.61,2.25,1.71
a_1,0.99,1.05,1.25,1.05,1.04,3.23,2.07,2.41,2.04,2.07,2.05,2.11,3.17,1.83,2.68,1.79
h_1,1.47,1.07,1.28,1.0,0.92,0.82,3.47,2.21,2.5,2.29,2.33,2.07,2.46,1.83,3.38,1.89
c_0,1.34,1.14,1.17,0.97,0.73,0.9,2.38,3.36,2.15,2.33,3.89,2.52,3.3,2.66,3.0,2.24
g_1,1.06,0.97,1.59,1.12,1.08,0.81,2.07,2.46,3.8,1.98,2.14,3.06,2.44,2.19,1.94,2.07
d_0,1.16,0.97,0.89,1.83,1.16,0.7,2.13,1.69,1.95,3.28,2.15,2.14,2.55,2.17,2.79,1.88
b_0,1.25,1.28,1.19,1.09,0.77,0.73,2.15,2.43,1.9,2.33,3.67,2.26,3.07,3.94,2.87,1.8
f_0,1.01,0.81,1.43,1.14,1.13,0.89,2.63,2.57,2.06,2.21,2.23,3.72,2.65,2.31,2.84,4.11
h_0,1.47,1.21,1.19,1.12,0.95,0.79,1.73,2.13,2.43,2.12,2.19,2.01,2.21,1.9,3.17,1.64
a_0,1.25,1.18,1.24,1.24,1.08,0.62,2.3,2.47,1.73,2.43,2.12,2.19,3.0,3.58,2.4,1.92
g_0,1.02,1.08,1.58,1.17,1.04,0.74,2.08,2.32,1.67,2.12,2.19,3.04,2.86,1.95,2.26,2.31
e_0,1.2,0.96,1.33,1.14,1.08,0.93,2.3,2.41,1.63,2.09,1.98,2.29,3.01,1.88,2.86,3.87
