,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.2,0.03,0.03,0.03,0.02,0.03,0.07,0.04,0.09,0.08,0.06,0.04,0.05,0.07,,0.04
f_1,0.06,2.24,0.02,0.03,0.03,0.02,0.06,0.04,0.07,0.05,0.06,,0.06,0.08,0.03,0.06
d_1,0.03,0.03,2.34,0.03,0.03,0.01,0.06,0.05,,0.12,0.06,0.05,0.04,0.08,0.05,0.08
c_1,0.03,0.02,0.03,2.38,0.06,0.02,0.06,0.06,0.07,,0.04,0.04,0.06,0.06,0.05,0.06
b_1,0.04,0.03,0.03,0.02,2.54,0.04,0.06,0.07,0.06,0.03,,0.05,0.04,0.09,0.03,0.07
a_1,0.03,0.02,0.02,0.03,0.03,3.09,0.04,0.06,0.05,0.07,0.06,0.05,,0.11,0.05,
h_1,0.09,0.19,0.11,0.1,0.09,0.06,2.69,0.26,0.27,0.21,0.23,0.19,0.18,,0.18,0.27
g_1,0.1,0.07,0.18,0.1,0.09,0.06,0.26,2.89,0.23,0.21,0.17,0.35,0.16,0.25,0.19,
d_0,0.17,0.12,,0.24,0.12,0.12,0.26,0.21,2.01,0.34,0.31,0.25,0.22,0.46,0.22,0.39
c_0,0.13,0.16,0.14,,0.1,0.08,0.24,0.23,0.28,2.06,0.57,0.3,0.29,0.4,0.29,0.42
b_0,0.15,0.14,0.13,0.1,,0.09,0.25,0.26,0.38,0.34,2.23,0.32,0.43,0.37,0.25,0.19
f_0,0.12,,0.18,0.13,0.09,0.16,0.22,0.17,0.44,0.34,0.27,2.35,0.3,0.4,0.49,0.27
a_0,0.11,0.17,0.11,0.14,0.16,,0.25,0.28,0.2,0.37,0.34,0.32,2.33,0.48,,0.37
h_0,0.24,0.33,0.24,0.27,0.17,0.17,,0.31,0.43,0.42,0.42,0.28,0.44,,0.32,0.71
e_0,,0.14,0.13,0.14,0.12,0.15,0.37,0.32,0.36,0.23,0.29,0.36,,0.45,2.58,0.33
g_0,0.21,0.24,0.29,0.19,0.14,,0.38,,0.45,0.47,0.36,0.65,0.4,0.64,0.46,
