,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.17,1.53,1.46,1.49,1.95,1.74,0.34,0.32,0.28,0.58,0.3,1.42,0.19,0.31,0.32,0.33
e_1,0.9,0.17,2.1,1.69,2.14,2.03,0.51,0.35,0.33,0.54,0.27,0.39,0.2,0.46,1.83,0.24
d_1,1.41,1.91,0.15,2.03,1.6,1.59,0.4,1.35,0.33,0.29,0.35,0.29,0.2,0.32,0.3,0.14
c_1,1.45,1.44,1.73,0.15,1.88,2.27,0.56,0.17,1.3,0.4,0.34,0.29,0.26,0.31,0.32,0.28
b_1,1.88,1.85,1.7,0.86,0.15,1.37,0.51,0.38,0.52,0.6,1.81,0.31,0.27,0.36,0.35,0.26
a_1,2.06,1.85,1.54,2.24,0.72,0.1,0.81,0.56,0.31,0.59,0.4,0.44,0.28,1.37,0.46,0.3
h_1,1.56,0.86,1.01,0.93,0.85,0.69,0.06,0.16,0.19,0.3,0.23,0.17,0.31,0.17,0.14,0.11
d_0,1.03,0.5,2.66,1.0,0.87,0.99,0.26,0.08,0.21,0.25,0.18,0.26,0.17,0.18,0.2,0.16
c_0,0.97,1.19,0.45,2.89,1.03,0.78,0.28,0.33,0.07,0.39,0.2,0.18,0.12,0.19,0.15,0.13
g_1,1.51,0.91,0.8,1.02,0.76,0.89,0.21,0.19,0.22,0.05,0.22,0.23,0.13,0.16,0.19,0.37
b_0,1.01,0.86,0.76,1.19,2.29,0.83,0.23,0.2,0.1,0.28,0.06,0.14,0.12,0.14,0.16,0.13
f_0,3.01,0.88,0.8,1.03,0.99,0.77,0.25,0.19,0.2,0.13,0.17,0.05,0.13,0.11,0.21,0.07
h_0,0.94,0.98,0.81,1.05,0.85,0.81,0.61,0.17,0.19,0.26,0.24,0.16,0.35,0.17,0.18,0.14
a_0,0.84,0.77,1.03,1.02,1.21,2.31,0.25,0.21,0.17,0.22,0.1,0.2,0.2,0.04,0.17,0.12
e_0,1.56,2.7,0.7,0.77,0.92,0.69,0.22,0.2,0.14,0.25,0.16,0.08,0.16,0.29,0.04,0.15
g_0,1.22,0.9,0.93,1.07,1.05,0.65,0.16,0.22,0.17,0.48,0.19,0.16,0.11,0.14,0.17,0.21
