,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.73,0.92,1.23,0.96,0.82,0.66,0.78,0.93,0.67,0.62,0.63,0.6,0.56,0.61,0.53
f_1,1.37,1.0,0.98,0.98,0.81,0.81,0.55,0.72,0.61,0.6,0.62,0.58,0.51,0.53,0.52,0.6
d_1,1.09,1.02,1.0,0.88,1.02,0.89,0.66,0.51,0.69,0.85,0.74,0.59,0.6,0.57,0.57,0.43
c_1,0.81,1.02,1.14,1.0,1.34,0.87,0.81,0.7,0.49,0.47,0.64,0.6,0.6,0.74,0.67,0.63
b_1,1.04,1.23,0.98,0.75,1.0,1.31,0.87,0.73,0.67,0.8,0.48,0.69,0.61,0.45,0.69,0.49
a_1,1.22,1.23,1.12,1.15,0.76,1.0,0.98,0.85,0.76,0.83,0.78,0.77,0.84,0.72,0.6,0.82
h_1,1.46,1.86,1.51,1.22,1.13,1.02,1.0,1.1,0.98,0.87,0.77,0.9,0.8,0.76,0.76,1.01
g_1,1.31,1.41,1.94,1.5,1.3,1.22,0.91,1.0,1.0,0.88,0.99,1.31,0.75,0.74,0.67,0.9
d_0,1.11,1.64,1.41,2.0,1.55,1.29,1.0,1.0,1.0,0.89,0.96,1.03,0.88,1.0,0.76,0.69
c_0,1.47,1.76,1.16,2.14,1.21,1.27,1.12,1.11,1.17,1.0,1.32,1.06,0.91,1.02,0.92,0.81
b_0,1.61,1.53,1.32,1.59,2.34,1.29,1.31,1.03,1.05,0.84,1.0,0.96,0.98,1.25,0.9,0.93
f_0,1.52,1.65,1.71,1.64,1.44,1.29,1.13,0.79,0.97,0.96,0.97,1.0,0.87,0.92,1.25,0.74
h_0,1.67,2.0,1.62,1.66,1.71,1.17,1.23,1.38,1.11,1.09,1.03,1.19,1.0,1.12,0.81,1.12
a_0,1.8,1.86,1.68,1.38,2.24,1.38,1.32,1.38,1.04,1.02,0.77,1.12,0.94,1.0,0.96,1.06
e_0,1.66,2.05,1.88,1.52,1.48,1.78,1.28,1.39,1.25,1.01,1.1,0.83,1.23,0.96,1.0,0.94
g_0,1.84,1.71,2.31,1.65,1.89,1.16,0.95,1.12,1.39,1.13,1.04,1.34,0.85,0.97,1.04,1.0
