,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.33,0.6,0.42,0.35,0.4,0.4,0.99,0.45,1.87,0.73,1.2,1.08,1.18,0.95,0.9,1.02
f_1,0.43,2.31,0.9,0.49,0.35,0.34,0.9,0.96,1.02,0.66,0.94,0.34,1.32,0.63,0.46,0.86
e_1,0.43,0.55,2.38,0.54,0.45,0.34,0.74,1.98,0.95,0.78,0.86,0.94,1.38,0.83,0.36,1.11
c_1,0.54,0.42,0.44,2.43,0.85,0.24,0.86,1.01,0.37,0.77,0.7,0.96,1.17,0.84,0.85,1.16
b_1,0.51,0.47,0.42,0.52,2.58,0.73,0.93,1.14,0.73,0.78,0.41,0.96,1.03,0.51,0.9,0.83
a_1,0.52,0.68,0.44,0.48,0.29,3.0,0.87,0.9,0.94,0.82,0.96,0.96,1.41,0.42,0.72,1.18
h_1,0.65,0.85,0.5,0.59,0.5,0.45,2.97,1.06,1.22,1.15,1.06,1.13,0.85,0.91,1.1,1.52
d_0,0.21,0.54,0.53,1.13,0.59,0.57,1.04,2.52,0.96,0.9,1.29,1.03,1.6,1.01,0.83,1.48
c_0,0.74,0.63,0.59,0.36,0.46,0.48,1.31,1.23,2.51,1.06,2.24,1.4,1.53,1.35,1.03,1.34
g_1,0.96,0.52,0.42,0.6,0.59,0.41,0.96,1.01,1.15,3.28,1.11,2.0,1.55,0.75,1.1,0.97
b_0,0.64,0.68,0.56,0.64,0.24,0.34,1.35,1.15,1.39,1.13,2.8,1.29,1.93,2.17,1.26,1.52
f_0,0.82,0.31,0.5,0.65,0.63,0.33,1.0,1.03,1.55,1.14,1.27,2.81,1.82,1.0,2.47,1.27
h_0,0.62,0.84,0.48,0.56,0.54,0.51,0.63,1.2,1.33,1.47,1.31,1.21,0.83,1.13,1.0,1.89
a_0,0.74,0.64,0.59,0.65,0.43,0.19,1.35,1.3,1.32,1.01,1.41,1.02,1.72,3.12,1.12,1.37
e_0,0.67,0.65,0.43,0.56,0.69,0.37,1.08,1.25,1.7,1.03,1.06,1.42,2.04,1.22,3.11,1.77
g_0,1.08,0.55,0.41,0.57,0.61,0.5,0.94,0.93,1.24,0.73,1.26,1.9,1.45,0.97,1.27,1.14
