,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.15,127.7,60.89,76.48,74.82,97.45,21.33,17.69,18.19,38.47,21.18,14.92,9.11,13.44,,23.71
d_1,146.75,1.15,89.74,116.03,76.84,121.81,30.81,,16.41,14.86,17.97,13.42,16.46,5.67,21.24,13.83
f_1,92.68,88.41,1.15,101.97,81.23,74.96,24.47,15.68,14.96,24.22,19.77,,7.64,24.2,24.07,17.47
c_1,90.31,86.2,87.44,1.15,113.72,92.81,23.77,8.52,,26.16,22.81,24.41,15.29,12.52,20.06,17.47
b_1,95.19,137.92,136.4,60.09,1.15,,28.69,23.79,23.21,26.16,,16.78,18.61,12.96,19.0,27.67
a_1,251.57,229.87,126.3,177.11,,1.15,46.22,27.6,28.04,,45.62,35.8,22.53,19.11,,
h_1,100.63,101.41,106.56,67.3,113.72,72.19,2.0,26.54,32.05,31.14,13.18,17.32,,11.71,19.0,17.47
d_0,54.18,,106.56,84.12,101.54,74.96,20.8,2.95,19.79,26.16,25.78,14.13,11.89,11.71,20.06,16.6
c_0,110.06,46.59,92.16,,94.77,77.96,23.77,21.56,3.13,24.22,17.44,16.78,11.26,20.17,15.04,16.6
g_1,110.06,127.7,148.26,160.24,98.03,,21.33,31.36,35.42,2.0,31.21,33.56,10.97,,21.24,
b_0,176.1,95.78,103.33,140.21,,121.81,26.0,19.71,9.48,28.43,2.85,23.35,18.61,22.69,21.24,20.75
f_0,113.61,114.93,,101.97,123.61,108.28,36.17,30.0,18.69,16.35,21.18,3.29,15.29,10.68,27.77,23.71
h_0,80.05,78.36,85.25,116.03,83.62,114.65,,19.17,19.23,32.7,23.72,19.89,,16.5,14.44,11.07
g_0,81.91,132.62,121.79,134.6,157.94,139.21,26.0,24.64,21.71,,21.96,23.35,12.23,,18.05,25.54
e_0,,149.91,162.38,120.18,236.92,,48.94,62.73,32.05,46.71,28.24,19.89,28.53,21.35,3.03,
a_0,251.57,172.4,136.4,197.94,218.69,,52.0,27.6,48.07,,17.97,44.75,28.53,30.25,,3.42
