,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.88,0.91,0.79,0.59,0.7,0.8,1.09,1.07,1.64,0.64,1.22,1.09,0.99,0.97,1.14,1.11
f_1,0.79,1.81,1.28,0.83,0.73,0.73,0.84,0.88,0.77,0.94,0.82,0.65,0.92,1.0,0.63,0.82
e_1,0.76,0.79,1.86,1.03,0.79,0.71,0.93,0.85,0.96,1.63,1.02,0.98,1.05,0.9,0.8,1.01
c_1,0.73,0.81,0.74,1.94,1.42,0.76,0.96,0.84,0.69,0.86,0.8,0.97,0.92,1.0,0.97,0.99
b_1,0.85,0.79,0.8,0.83,2.05,1.41,0.89,0.94,0.79,0.94,0.67,0.97,0.78,1.02,0.93,0.92
a_1,0.94,0.89,0.7,0.82,0.75,2.98,0.9,1.12,0.97,0.93,1.05,0.96,0.73,1.18,1.0,0.85
h_1,0.98,1.09,0.77,0.84,0.81,0.72,1.8,1.2,0.97,0.86,1.06,1.04,1.06,0.8,1.21,1.3
g_1,1.26,0.78,0.82,0.9,0.8,0.7,1.01,2.02,1.1,0.82,1.12,1.43,0.92,0.93,1.19,0.76
c_0,0.91,0.99,0.85,0.77,0.7,0.82,1.17,1.07,1.48,1.06,1.86,1.12,1.4,1.03,1.2,1.12
d_0,0.63,0.76,0.8,1.62,0.98,0.7,0.99,0.96,0.73,1.54,1.04,1.05,1.04,1.11,1.0,1.12
b_0,0.87,1.01,0.84,0.97,0.65,0.68,1.15,1.07,1.0,1.14,1.68,1.22,1.93,1.15,1.3,1.26
f_0,1.06,0.77,0.69,0.94,0.82,0.8,1.18,1.1,1.08,0.98,1.14,1.62,1.19,1.01,1.96,1.24
a_0,0.91,0.99,0.83,1.0,0.86,0.58,1.11,1.09,0.98,0.99,0.96,1.17,1.93,1.2,1.29,1.17
h_0,0.92,1.15,0.92,0.79,0.77,0.74,0.87,1.3,1.05,1.02,0.98,0.95,1.05,0.84,1.03,1.14
e_0,0.97,0.93,0.69,0.88,0.79,0.8,1.29,1.2,1.07,0.97,1.31,1.16,1.45,1.19,2.0,1.15
g_0,1.23,0.8,0.79,0.91,0.71,0.77,1.1,0.74,1.13,0.85,1.08,1.55,1.13,0.95,1.3,1.06
