,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.12,2.83,5.55,6.35,5.41,5.65,1.75,1.09,1.19,1.72,1.14,1.28,0.99,0.86,2.64,1.03
f_1,4.82,1.12,5.58,3.99,6.3,4.69,1.32,1.35,1.1,2.02,1.18,2.67,0.96,0.57,1.21,0.98
c_1,4.62,5.68,1.13,7.06,5.09,5.81,1.97,0.59,2.57,1.65,1.27,1.05,1.03,0.75,0.89,0.82
d_1,7.55,7.69,5.73,1.12,5.68,4.97,1.26,2.92,1.08,0.9,0.99,1.0,1.35,0.79,1.04,0.49
b_1,6.86,7.52,3.32,6.68,1.14,7.27,1.79,1.51,1.44,2.21,3.11,1.62,1.49,1.11,1.09,1.01
a_1,10.66,10.59,14.11,10.73,4.82,1.14,2.61,2.3,1.65,3.35,1.79,2.66,14.93,1.5,2.01,1.27
h_1,18.38,20.08,17.45,14.74,15.36,14.88,1.81,4.46,3.82,4.79,3.49,3.31,3.6,4.38,3.7,2.89
d_0,11.12,20.56,23.18,45.04,18.59,25.12,6.96,2.38,4.68,7.2,4.57,4.03,3.73,3.45,4.36,3.38
c_0,23.24,20.44,54.34,11.55,23.54,23.88,6.28,5.86,2.35,5.88,5.09,4.12,4.4,3.88,5.67,2.79
g_1,24.34,26.72,20.46,19.27,25.83,23.59,4.32,5.86,3.74,1.82,4.28,4.41,3.63,2.56,5.23,5.4
b_0,22.1,25.36,31.27,23.51,55.08,24.48,6.79,4.81,2.85,6.57,2.31,4.18,5.22,3.16,5.23,3.03
f_0,21.83,68.12,27.4,25.58,27.8,23.88,8.1,5.82,4.59,4.82,6.08,2.18,5.36,3.51,5.23,2.57
a_0,29.52,37.35,36.03,39.48,46.33,64.47,9.68,7.34,6.84,10.47,3.45,6.39,2.5,5.29,6.8,5.79
h_0,33.35,35.81,36.83,36.76,41.11,28.87,15.89,7.13,7.05,9.85,7.76,7.41,7.08,7.54,6.54,4.44
e_0,69.27,62.04,38.55,49.2,49.47,28.87,11.53,9.2,8.14,12.64,8.68,3.94,8.04,5.58,2.6,5.89
g_0,42.38,48.25,48.75,48.45,41.7,38.68,8.34,10.85,8.66,22.33,8.19,9.42,8.71,5.02,9.19,11.57
