,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,11049.33,7202.44,6566.58,9609.16,11651.43,64334.61,8900184.2,26441655.34,22208159.51,31850291.58,53321362.12,57509137.44,213553953.33,233531379.39,419501260.22,280536138.42
f_1,8557.71,15501.3,7169.94,8275.77,10182.55,47584.35,7240588.95,18246879.91,20570174.52,30379837.62,51284605.94,37061437.64,206658892.78,226313811.79,388617055.11,212922324.1
d_1,4940.79,7566.7,18037.22,6516.22,10740.48,58017.94,8753519.07,13814706.86,23364647.91,51893651.64,63559920.43,59122536.64,236833157.41,246526942.47,448865232.45,449065373.16
c_1,4642.45,6685.26,7478.74,19190.18,19461.75,65332.15,7984806.56,15928274.51,18987924.87,19640168.53,38554391.55,50093812.9,212307409.17,201169122.2,406551657.21,358517450.84
b_1,4614.14,6676.96,7607.03,8115.22,30880.79,108111.22,8518226.26,15383807.2,21419211.93,30925694.58,38226729.85,57782888.99,217766903.06,159915200.79,374421770.04,416369220.05
a_1,4324.39,6725.61,8042.36,9310.28,14026.15,220618.77,7636495.6,16344783.54,22809012.03,33813395.92,52959512.8,60181282.71,233722412.1,196034760.5,409336190.47,353999191.06
h_1,5212.8,9596.13,9040.99,8034.92,11167.73,50738.35,15358812.53,17829132.43,30011911.16,33252624.22,53212440.97,58617460.3,182383948.3,276096310.76,653807523.71,416331184.25
d_0,5452.39,7251.21,6235.35,14506.96,13754.26,65346.56,7878153.04,25375978.51,22599282.31,23618158.28,50792168.56,55247179.74,256831551.24,233322037.06,384923198.23,334638556.38
g_1,4799.72,6331.34,11637.16,9384.99,12031.51,58697.0,8038887.01,15647897.38,51922827.88,33708753.56,55266455.07,90229543.28,233497921.07,259430180.39,447029646.54,485569307.96
c_0,5847.96,7743.29,8169.01,8300.89,11919.56,64437.97,8917016.57,20409650.34,27482735.88,48298021.74,102979156.58,69588499.69,270326153.71,338315546.32,503877862.58,391033368.71
b_0,6348.49,8162.64,8112.39,9653.59,10333.84,41336.0,9813563.07,17914320.28,27574764.65,31708444.45,90831952.77,63725097.35,291808579.0,504426260.18,484499934.92,391967201.79
f_0,4070.42,5924.99,10053.27,9269.53,13895.61,71790.61,9764665.9,18233566.85,27630917.6,33491081.12,59846887.71,99244513.96,265252447.5,261239875.94,555224966.87,859847944.97
h_0,5573.49,9390.73,8812.1,8831.27,13212.54,58790.62,6520749.6,15852588.72,30228277.9,30124313.42,57135811.69,59225319.21,200033768.24,275272178.85,544829658.56,402491371.59
a_0,5766.79,8794.57,9460.41,9075.94,10996.15,37607.38,9568154.64,17008106.52,27746518.02,34187196.43,65735303.94,67738995.02,286473753.23,507788373.53,604673131.29,369923907.92
g_0,4443.96,6786.92,13172.6,8117.16,13016.99,62477.49,7766595.59,13115749.16,18882895.09,34539487.5,55331376.23,88581447.3,239723409.58,198475080.8,420794423.43,445554537.4
e_0,4273.74,8808.09,9911.68,9191.67,11958.51,54208.41,9898864.79,15379358.18,27093026.16,31936138.07,60641817.91,64182697.78,249594373.5,239591401.89,543438861.43,804094894.56
