,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.77,0.94,1.12,1.04,1.01,1.11,1.16,0.97,1.4,1.01,1.27,1.07,0.98,1.12,1.07
f_1,1.28,1.0,0.93,1.0,0.88,0.9,0.86,1.05,0.92,0.98,0.95,0.9,0.79,0.97,0.78,0.97
d_1,1.03,1.1,1.0,0.97,0.9,0.89,1.03,0.83,1.26,1.12,1.11,1.0,1.0,0.94,1.05,0.87
c_1,0.87,1.03,1.04,1.0,1.42,0.86,0.93,1.06,0.88,0.75,0.9,0.93,1.06,1.03,0.87,0.98
b_1,0.95,1.12,1.11,0.71,1.0,1.61,1.04,1.05,1.13,0.86,0.95,0.92,1.08,0.89,1.01,1.09
a_1,0.99,1.09,1.14,1.16,0.63,1.0,1.13,0.98,0.97,1.15,1.2,1.02,1.25,1.01,1.13,1.14
h_1,0.92,1.15,0.97,1.04,1.03,0.88,1.0,1.14,0.95,0.92,0.92,0.92,1.01,1.03,1.01,1.15
g_1,0.89,0.94,1.19,0.95,0.97,0.96,0.9,1.0,0.94,0.83,0.94,1.22,0.99,1.05,1.01,0.99
c_0,1.01,1.07,0.81,1.22,0.91,1.01,1.05,1.01,1.0,1.1,1.31,0.97,1.03,1.09,1.05,1.05
d_0,0.72,0.97,0.93,1.37,1.17,0.9,1.07,1.14,0.86,1.0,0.89,0.99,1.01,1.08,0.98,1.1
b_0,1.0,1.02,0.88,1.16,1.06,0.83,1.08,1.03,0.74,1.09,1.0,0.99,1.16,1.44,1.03,1.03
f_0,0.77,1.09,0.97,1.15,1.11,0.97,1.05,0.85,0.99,0.99,0.99,1.0,1.05,1.08,1.51,0.78
h_0,0.99,1.25,1.02,0.95,0.93,0.79,1.01,1.01,0.94,0.98,0.87,0.96,1.0,0.98,1.03,1.22
a_0,1.03,0.98,1.04,0.98,1.14,0.98,0.99,1.05,0.9,0.88,0.73,0.94,1.01,1.0,0.89,0.99
e_0,0.94,1.31,0.95,1.16,1.05,0.87,0.97,0.9,0.84,0.96,1.0,0.71,0.92,1.09,1.0,0.94
g_0,0.9,1.02,1.18,1.01,0.96,0.88,0.89,1.06,0.97,0.92,0.97,1.21,0.83,0.98,1.05,1.0
