,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.63,2.32,1.18,1.35,1.11,0.96,4.55,4.27,5.86,6.05,5.28,2.23,8.25,4.67,7.13,4.42
e_1,1.6,5.7,1.08,1.64,0.98,1.15,5.11,4.44,6.09,12.28,6.81,6.35,9.57,7.4,8.28,3.06
d_1,1.52,1.06,6.23,1.07,1.2,1.33,5.11,5.13,11.92,2.41,7.06,7.01,10.31,6.7,9.7,5.96
c_1,1.19,1.16,1.26,6.73,2.7,1.03,4.16,4.68,2.08,6.03,4.7,6.98,9.28,6.36,8.18,6.46
b_1,1.14,1.31,1.41,1.31,8.3,2.79,3.89,4.69,4.23,4.63,2.14,5.14,8.37,4.82,8.6,6.29
a_1,1.09,1.39,1.78,1.06,1.25,11.38,4.96,3.9,5.43,4.98,6.83,6.88,11.07,3.12,12.01,7.58
h_1,1.94,1.52,1.58,1.52,1.6,1.48,15.45,8.26,6.9,7.61,7.5,7.57,7.27,6.57,14.96,8.92
g_1,1.68,1.19,2.4,1.63,1.52,1.46,5.32,19.48,6.84,5.21,7.49,9.59,10.25,7.9,6.02,9.58
c_0,1.68,1.56,1.82,0.97,1.38,1.76,7.11,6.02,15.67,5.37,15.36,9.24,11.81,7.86,15.46,9.65
d_0,1.52,1.51,0.76,3.43,1.58,1.65,5.77,5.1,6.0,15.54,6.77,8.66,9.67,6.31,11.5,9.03
b_0,1.77,1.52,1.6,1.77,0.84,1.02,6.53,5.95,7.06,7.39,18.05,8.29,13.78,17.49,14.81,9.43
f_0,1.05,1.13,1.94,1.78,1.85,2.06,6.21,6.87,8.3,7.72,8.58,18.14,12.03,9.2,11.53,19.39
h_0,2.32,1.4,1.52,1.73,1.31,1.56,3.83,7.08,7.64,7.05,8.12,7.09,5.82,8.59,17.3,7.6
a_0,2.01,1.2,1.9,1.58,1.84,0.75,6.91,6.21,7.12,8.9,5.93,9.31,12.39,24.15,13.16,11.61
g_0,1.22,1.42,2.78,1.58,1.27,1.71,5.74,3.84,8.22,6.62,9.17,12.17,12.03,7.19,6.36,7.41
e_0,1.82,0.9,1.54,1.81,1.8,1.79,5.76,6.04,7.37,8.48,8.84,8.22,14.37,8.8,14.2,27.66
